pH,Azot_ppm,Fosfor_ppm,Potasyum_ppm,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi
7.77,29.6,21.1,222.3,2.21,0.55,MilliTinli,Fiğ
6.8,50.1,30.6,187.8,2.03,0.5,Tinli,Yulaf
6.9,64.6,27.4,213.7,2.01,0.54,AgirKilli,Keten
7.42,57.3,26.7,294.8,3.55,0.3,KumluTinli,Cilek
6.29,76.9,37.3,283.7,2.98,0.23,Tinli,AdaCayi
7.01,77.0,39.5,249.0,3.43,0.21,Tinli,Aspir
7.19,41.0,27.7,170.1,1.69,0.42,MilliTinli,Arpa
5.74,62.6,32.6,198.6,2.3,0.35,KilliTinli,Erik
6.56,71.9,43.3,303.3,3.1,0.31,TinliKumlu,Lahana
6.29,98.6,38.7,354.0,4.06,0.2,MilliTinli,Tere
6.05,96.9,35.0,282.3,3.82,0.13,KumluTinli,Marul
6.63,109.2,47.6,291.1,2.77,0.49,TinliKumlu,Roka
7.44,56.6,28.3,249.3,3.3,0.21,KilliTinli,Ayva
6.63,51.4,33.5,209.4,1.34,0.8,Killi,Fiğ
7.0,90.0,27.2,307.2,3.5,0.76,AgirKilli,Susam
7.63,35.0,27.8,183.8,1.41,0.74,Tinli,Cavdar
6.85,58.1,23.7,221.0,2.6,0.3,KumluTinli,Kimyon
7.43,74.9,37.0,229.2,3.35,0.16,KilliTinli,Ceviz
5.66,70.5,25.9,260.9,3.96,0.31,KilliTinli,Armut
6.67,73.8,44.0,280.2,2.06,0.37,Tinli,Nane
6.75,29.7,21.9,167.9,2.02,0.45,Tinli,Arpa
7.1,63.1,59.2,273.9,4.13,0.39,MilliTinli,Turp
5.77,69.7,29.5,190.2,3.3,0.37,KilliTinli,SiloMisiri
7.15,28.9,26.6,171.7,1.45,0.44,Killi,Fiğ
6.58,48.5,27.5,292.1,2.54,0.32,Tinli,Kiraz
7.09,61.6,22.1,232.7,2.93,0.32,KilliTinli,Greyfurt
7.42,68.6,37.0,293.0,2.96,0.21,AgirKilli,Pamuk
6.64,46.0,26.8,225.8,3.5,0.24,KumluTinli,Yonca
7.47,41.5,28.4,162.5,2.29,1.1,Killi,Misir
6.17,62.3,57.1,267.5,1.96,0.46,TinliKumlu,Karpuz
7.46,60.6,39.5,238.7,2.88,0.71,AgirKilli,Kanola
5.7,50.2,26.2,256.0,3.25,0.15,Tinli,YemSalgamı
7.15,52.5,37.4,197.6,3.75,0.28,Tinli,Korunga
7.17,69.3,36.5,276.2,3.91,0.37,KumluTinli,Armut
6.95,40.2,37.5,218.8,2.86,0.18,KilliTinli,Kayisi
6.87,61.8,44.7,300.9,3.44,0.2,MilliTinli,Biber
6.93,51.5,25.3,192.0,3.4,0.32,KumluTinli,Yonca
6.51,64.4,40.3,282.5,3.73,0.17,TinliKumlu,Biber
7.32,52.3,36.4,262.4,3.3,0.32,KumluTinli,Salep
6.6,42.6,43.2,277.1,3.62,0.16,KumluTinli,Mandalina
7.36,57.6,44.8,219.0,2.35,0.64,Tinli,Susam
5.64,71.5,43.8,226.4,2.21,0.37,KilliTinli,Anason
6.07,85.2,56.4,353.2,3.09,0.1,KumluTinli,Biber
6.21,96.5,54.4,254.1,2.34,0.12,KumluTinli,Karpuz
7.13,77.2,33.0,193.3,2.21,0.38,Tinli,Kimyon
7.27,53.7,38.8,241.9,2.1,0.72,Tinli,YerFistigi
7.03,64.6,27.1,280.9,2.78,0.42,AgirKilli,Susam
6.21,81.4,41.6,242.2,1.8,0.14,KumluTinli,Karpuz
6.49,72.6,60.1,320.8,4.48,0.3,MilliTinli,Marul
7.26,62.8,25.7,280.4,2.89,0.37,Tinli,SiloMisiri
7.47,47.4,29.7,211.5,1.22,0.94,MilliTinli,Nohut
6.59,88.3,46.4,316.7,3.18,0.49,KumluTinli,Prasa
7.12,41.2,43.8,196.1,2.84,0.12,KumluTinli,Mandalina
7.44,56.4,26.0,319.8,2.98,0.23,AgirKilli,Soya
6.94,64.3,25.0,265.7,3.86,0.33,KumluTinli,Yonca
6.41,54.4,33.5,242.7,3.51,0.29,KumluTinli,Safran
7.01,66.7,23.3,257.1,2.17,0.12,KumluTinli,Cilek
7.01,72.9,53.0,348.1,4.21,0.19,MilliTinli,Domates
7.64,69.0,34.2,258.2,2.65,0.34,Tinli,Pamuk
5.52,55.5,33.2,227.5,3.95,0.12,KilliTinli,Greyfurt
6.71,62.2,25.5,180.5,2.48,0.27,Tinli,Korunga
6.78,71.0,25.0,254.5,3.05,0.1,KumluTinli,SiloMisiri
6.91,75.2,37.3,228.1,2.64,0.21,Tinli,Safran
6.83,104.1,49.1,244.2,2.87,0.26,MilliTinli,Patlican
6.94,62.8,24.2,276.8,3.49,0.28,KumluTinli,Muz
7.64,82.3,39.4,302.7,3.0,0.47,AgirKilli,SekerPancari
6.69,70.6,20.8,235.3,3.23,0.17,KumluTinli,Greyfurt
6.93,96.9,61.1,302.5,4.05,0.11,TinliKumlu,Maydanoz
6.62,79.1,43.9,258.2,3.28,0.37,Tinli,Cay
6.03,68.1,25.0,225.4,2.99,0.26,KilliTinli,Safran
5.5,48.5,20.4,267.4,3.94,0.16,KilliTinli,Kimyon
6.59,75.2,44.1,252.0,4.01,0.49,TinliKumlu,Lahana
7.74,26.3,25.9,221.8,2.12,0.99,Tinli,Misir
6.71,60.7,25.6,211.0,3.86,0.35,KilliTinli,Lavanta
7.32,62.0,43.9,251.7,3.26,0.24,KilliTinli,Kestane
5.96,43.3,20.5,202.3,3.0,0.23,KilliTinli,AdaCayi
5.91,54.6,36.1,245.6,3.2,0.16,KilliTinli,Safran
5.97,63.6,23.1,284.9,2.16,0.23,Tinli,Salep
7.68,38.2,21.0,213.4,2.0,0.94,Tinli,Fiğ
5.66,53.1,31.6,198.0,3.73,0.22,KilliTinli,Badem
6.6,44.8,32.6,162.0,1.82,0.62,Killi,Misir
6.97,75.9,36.6,242.5,3.36,0.43,Tinli,Pamuk
7.46,39.9,23.6,189.7,1.61,0.41,MilliTinli,Fiğ
6.44,71.8,26.4,218.9,2.45,0.13,KumluTinli,Visne
6.98,63.3,37.5,274.8,3.9,0.12,KumluTinli,Muz
7.32,76.9,40.9,299.3,3.11,0.31,KumluTinli,Visne
6.87,62.4,49.7,246.2,2.16,0.64,Killi,SekerPancari
6.81,76.0,26.4,318.1,2.25,0.46,Killi,Tütün
6.12,46.4,24.3,242.7,3.25,0.21,KumluTinli,Incir
6.28,71.2,30.7,204.8,2.6,0.37,KilliTinli,Cilek
6.78,51.3,34.6,207.8,2.28,1.0,Tinli,Bugday
6.07,76.4,27.3,207.6,2.45,0.18,Tinli,Ayva
7.29,70.7,36.1,204.1,2.91,0.39,Tinli,OglanOtu
5.82,49.6,21.1,227.5,2.69,0.33,Tinli,Muz
6.85,73.5,52.6,374.6,2.86,0.15,MilliTinli,Kereviz
6.89,48.9,43.9,291.5,2.96,0.2,Tinli,Kayisi
7.37,62.7,22.1,190.7,3.41,0.29,KumluTinli,Mandalina
7.36,35.8,23.1,193.8,2.21,1.0,MilliTinli,Fiğ
6.96,70.5,39.3,313.4,2.59,0.13,KumluTinli,TazeSogan
5.56,49.2,42.0,284.2,3.44,0.22,KumluTinli,Armut
5.98,44.4,38.1,293.2,2.04,0.27,KilliTinli,YemSalgamı
7.15,98.7,36.9,323.8,3.22,0.38,KumluTinli,Marul
6.79,64.5,41.2,327.9,2.78,0.38,MilliTinli,Roka
7.29,72.2,33.3,299.7,2.25,0.12,Tinli,Uzum
6.6,60.9,23.8,204.7,3.77,0.29,KumluTinli,Cay
6.89,52.0,21.9,199.9,2.82,0.2,KilliTinli,Limon
7.16,25.9,15.0,171.0,2.13,0.36,MilliTinli,Arpa
7.36,37.1,15.8,200.7,1.54,0.7,Killi,Fiğ
6.44,86.3,64.9,304.2,2.67,0.33,TinliKumlu,Kavun
7.18,78.5,27.3,276.8,3.24,0.32,Tinli,OglanOtu
6.37,93.1,64.2,355.1,3.51,0.28,KumluTinli,Biber
7.33,40.6,32.9,277.3,3.59,0.34,KilliTinli,Findik
5.93,75.2,33.9,253.9,3.88,0.25,Tinli,Visne
7.74,83.4,45.0,267.8,2.89,0.61,Tinli,Kanola
6.69,63.6,25.5,199.7,2.73,0.27,KilliTinli,Nar
6.93,88.0,46.5,326.6,3.27,0.11,MilliTinli,Marul
5.73,66.6,30.2,191.7,3.84,0.31,KilliTinli,AdaCayi
5.83,77.1,30.8,295.9,3.81,0.37,KilliTinli,Rezene
7.18,79.1,21.9,241.8,2.53,0.39,KumluTinli,Visne
6.95,59.6,34.9,193.2,3.78,0.16,KumluTinli,AdaCayi
5.85,72.3,43.0,281.9,2.03,0.28,KilliTinli,Elma
5.98,50.4,22.3,284.1,3.17,0.34,Tinli,Uzum
5.77,48.3,44.3,211.8,2.24,0.22,Tinli,Kusburnu
6.41,49.3,27.2,190.8,2.6,0.3,Tinli,Kestane
7.5,53.3,33.0,227.7,2.26,0.18,KilliTinli,Rezene
7.47,65.2,26.9,228.6,3.57,0.23,KilliTinli,Lavanta
5.98,45.8,24.1,225.1,3.9,0.31,KumluTinli,Limon
6.27,84.8,63.2,292.0,4.37,0.35,MilliTinli,Turp
6.1,44.1,29.7,209.3,2.91,0.11,KumluTinli,Kekik
7.96,50.1,41.8,235.1,3.44,0.5,Killi,Tütün
7.34,68.4,43.6,272.2,2.24,0.31,KumluTinli,Seftali
5.9,80.0,21.3,236.3,2.85,0.35,KumluTinli,Ceviz
7.28,54.4,27.0,197.5,1.35,1.12,MilliTinli,Fasulye
7.48,27.8,34.2,171.9,1.57,0.64,Tinli,Cavdar
6.62,40.5,41.2,191.5,3.94,0.18,KilliTinli,Kivi
7.1,62.3,50.3,316.0,3.32,0.34,MilliTinli,Patlican
6.98,98.4,49.7,319.0,4.43,0.27,KumluTinli,Domates
6.65,68.8,39.8,367.0,3.52,0.32,MilliTinli,Hiyar
7.15,65.5,33.7,219.8,2.87,0.3,KumluTinli,Kiraz
7.39,43.0,21.2,197.1,1.97,0.99,MilliTinli,Fiğ
7.05,68.3,35.3,345.0,2.55,0.45,MilliTinli,Roka
6.85,83.0,58.1,287.5,2.86,0.23,KumluTinli,Turp
7.1,27.6,32.5,227.0,1.92,0.48,Killi,Mercimek
7.33,71.4,42.1,201.8,2.59,0.3,AgirKilli,Kenevir
7.45,72.2,32.5,208.4,3.24,0.17,KumluTinli,Salep
6.66,42.8,20.6,160.4,1.31,0.64,MilliTinli,Bugday
6.23,94.2,45.4,255.9,2.58,0.2,MilliTinli,Patlican
6.2,50.9,30.4,277.9,2.17,0.19,Tinli,Papatya
6.4,62.3,24.7,232.4,3.44,0.25,KilliTinli,Kiraz
6.98,40.5,28.7,264.0,2.2,0.33,KilliTinli,Korunga
6.22,88.7,63.5,330.3,4.22,0.28,TinliKumlu,Lahana
6.37,63.1,41.7,181.9,3.69,0.28,KilliTinli,OglanOtu
7.03,62.9,47.0,246.1,3.77,0.25,TinliKumlu,Sarımsak
7.18,89.3,38.5,360.5,2.51,0.15,KumluTinli,Tere
6.66,47.5,23.7,204.8,2.94,0.35,Tinli,Zeytin
6.96,49.8,43.9,280.3,3.74,0.27,KumluTinli,Armut
6.11,61.8,62.9,319.0,3.48,0.24,KumluTinli,Biber
6.09,46.9,26.8,287.7,3.89,0.38,KilliTinli,Badem
7.16,54.7,39.6,261.3,2.63,0.14,KumluTinli,Anason
6.85,72.4,29.0,275.2,2.41,0.29,KilliTinli,Kekik
7.66,67.9,27.4,310.8,2.98,0.77,Tinli,Kanola
7.35,59.3,32.6,255.8,2.8,0.62,Killi,Tütün
7.16,51.7,44.7,300.0,3.18,0.59,AgirKilli,SekerPancari
7.13,44.7,35.4,268.5,2.1,0.12,KumluTinli,Biberiye
7.45,50.7,31.0,226.1,1.28,0.36,Killi,Nohut
7.74,30.2,30.2,182.7,2.25,1.15,MilliTinli,Cavdar
7.05,76.0,24.8,244.3,2.52,0.35,KumluTinli,Limon
7.13,29.7,30.3,221.3,1.4,0.44,Tinli,Bezelye
6.81,85.0,40.8,275.1,3.81,0.22,TinliKumlu,TazeSogan
6.65,76.8,38.6,264.4,3.93,0.15,KumluTinli,Findik
7.17,45.9,39.1,196.2,2.3,0.18,KilliTinli,Nane
5.62,60.9,23.7,193.2,2.24,0.36,Tinli,Nar
7.07,54.1,22.8,217.9,2.23,0.33,Tinli,Mercimek
6.33,41.9,20.5,209.2,2.02,0.37,Tinli,Nar
6.86,47.9,21.7,243.7,3.5,0.2,KumluTinli,Papatya
6.02,67.2,40.2,284.2,2.89,0.27,Tinli,SiloMisiri
6.04,51.3,44.5,256.9,3.54,0.18,KilliTinli,Uzum
5.59,71.6,40.0,254.3,3.78,0.3,KilliTinli,Korunga
6.66,52.5,42.8,189.0,3.95,0.26,Tinli,Mandalina
6.5,94.4,55.3,268.3,3.65,0.35,MilliTinli,TazeSogan
7.16,46.9,27.5,224.1,2.73,0.19,Tinli,Seftali
7.59,71.7,40.7,263.7,2.78,0.32,AgirKilli,Keten
5.86,56.9,33.2,245.8,3.17,0.29,Tinli,Cilek
7.96,72.0,35.3,237.6,2.55,0.45,Killi,Tütün
6.09,49.4,22.3,188.8,3.26,0.22,KumluTinli,AdaCayi
7.48,54.3,41.8,265.3,3.82,0.2,KilliTinli,Ayva
6.99,37.0,24.3,187.2,1.68,0.86,Killi,Yulaf
6.23,72.0,29.5,228.4,2.18,0.28,Tinli,Erik
6.65,50.0,22.2,285.1,3.97,0.21,KilliTinli,Kestane
5.82,43.3,31.6,242.7,2.89,0.32,Tinli,Biberiye
7.18,25.2,33.4,184.4,2.03,0.63,Killi,Burçak
6.6,72.5,47.3,287.6,3.98,0.39,KumluTinli,Ispanak
6.79,77.1,26.0,266.9,3.49,0.35,KilliTinli,Badem
6.27,61.0,37.1,220.4,2.62,0.1,KumluTinli,Badem
6.35,59.8,33.9,206.4,2.49,0.19,KilliTinli,Korunga
6.51,53.4,34.5,257.1,3.81,0.29,KilliTinli,Mandalina
5.99,65.7,38.7,263.9,2.78,0.28,Tinli,Lavanta
7.02,101.9,55.6,344.7,2.59,0.31,KumluTinli,Biber
6.82,79.5,48.0,314.0,4.09,0.48,TinliKumlu,Tere
7.04,88.0,45.4,281.3,3.91,0.23,KumluTinli,Patlican
5.74,50.8,44.9,252.7,3.06,0.26,KumluTinli,Zeytin
6.02,78.7,41.4,237.3,2.02,0.22,KilliTinli,Limon
5.82,48.1,26.4,222.2,2.58,0.22,KilliTinli,Findik
6.04,70.3,32.9,270.9,3.58,0.23,Tinli,Greyfurt
6.46,49.1,28.8,268.5,3.63,0.11,Tinli,Badem
5.52,68.0,30.5,252.1,2.49,0.11,KumluTinli,Nane
6.47,87.4,58.8,356.8,3.52,0.42,KumluTinli,Havuc
5.83,48.3,21.3,218.1,3.3,0.35,Tinli,OglanOtu
6.25,67.0,21.9,249.5,2.5,0.12,KilliTinli,Zeytin
6.14,65.5,21.1,215.2,2.82,0.38,Tinli,Yonca
6.4,98.9,44.1,260.7,3.38,0.29,MilliTinli,Tere
6.99,63.0,21.6,203.9,2.96,0.18,KilliTinli,Portakal
6.64,107.4,48.0,271.5,4.18,0.24,KumluTinli,Sarımsak
6.85,55.1,33.0,306.5,3.02,0.55,AgirKilli,YerFistigi
7.28,73.1,33.1,265.1,2.55,0.25,KumluTinli,Kivi
6.71,50.9,21.9,244.5,2.42,0.21,KumluTinli,MeyanKoku
6.14,72.7,30.3,219.3,3.56,0.19,Tinli,Safran
6.57,79.2,52.1,349.6,3.93,0.36,TinliKumlu,Biber
7.09,28.5,27.3,173.1,2.07,1.08,MilliTinli,Mercimek
7.23,47.0,39.5,271.7,3.96,0.14,Tinli,Nar
7.47,71.1,40.9,202.1,3.05,0.46,AgirKilli,Pamuk
6.89,86.0,58.0,332.2,2.75,0.13,KumluTinli,Hiyar
6.1,57.3,23.7,262.0,2.37,0.39,KumluTinli,Seftali
7.07,59.0,48.9,283.0,3.23,0.3,Killi,Aycicegi
5.6,46.3,36.2,192.5,3.14,0.21,KilliTinli,Yonca
7.13,64.7,26.0,316.2,3.05,0.78,Killi,Tütün
6.48,51.7,37.1,298.1,3.3,0.18,KumluTinli,Kusburnu
5.72,43.6,44.0,198.7,3.56,0.17,Tinli,Zeytin
6.44,43.7,27.8,185.6,2.29,0.34,KumluTinli,Erik
7.14,25.3,28.9,165.9,1.7,0.41,Tinli,Mercimek
7.85,78.8,40.2,209.1,2.24,0.48,AgirKilli,YerFistigi
6.63,68.0,23.1,208.1,3.44,0.34,Tinli,Kayisi
7.26,28.4,30.7,177.8,1.43,0.37,MilliTinli,Yulaf
7.49,66.5,38.0,234.2,2.95,0.29,KumluTinli,AntepFistigi
7.41,63.7,39.2,211.5,3.17,0.38,KilliTinli,YemSalgamı
5.57,58.0,20.9,185.2,2.93,0.24,Tinli,Nar
7.9,83.2,47.7,213.4,2.21,0.28,Killi,Soya
6.56,70.8,27.5,250.7,2.95,0.17,KumluTinli,Limon
6.9,41.0,28.1,227.7,2.23,0.64,MilliTinli,Fasulye
7.57,47.1,20.5,192.3,2.29,0.7,MilliTinli,Burçak
6.11,66.7,51.2,244.6,3.01,0.43,TinliKumlu,Kereviz
6.68,44.5,23.0,180.1,3.31,0.29,Tinli,Kivi
7.17,77.0,28.6,283.4,2.96,0.3,Tinli,Badem
6.55,72.2,40.7,220.3,3.37,0.15,Tinli,SiloMisiri
6.38,49.5,32.7,218.1,3.2,0.15,KumluTinli,Biberiye
6.37,60.2,39.1,248.6,2.12,0.38,Tinli,Elma
7.0,66.4,28.3,223.2,2.64,0.3,Tinli,Erik
7.28,49.9,26.3,238.2,2.29,0.87,Killi,Fiğ
5.6,56.1,38.5,253.1,2.1,0.36,KilliTinli,AdaCayi
5.62,79.0,35.4,227.9,3.27,0.24,KilliTinli,Lavanta
7.14,58.7,22.6,246.0,2.55,0.32,KilliTinli,AntepFistigi
6.26,66.4,25.6,235.6,3.71,0.22,Tinli,Greyfurt
6.34,41.1,34.8,258.7,3.52,0.22,KilliTinli,Yonca
6.28,74.3,26.8,239.1,3.22,0.32,KilliTinli,Cilek
7.13,55.0,38.3,228.3,2.21,0.31,KumluTinli,Portakal
6.14,87.7,56.0,373.8,2.78,0.21,TinliKumlu,Lahana
6.87,69.9,30.8,266.0,3.09,0.27,Tinli,Limon
6.82,101.0,62.6,318.6,3.28,0.48,KumluTinli,Lahana
7.19,63.5,21.3,277.0,3.72,0.35,KilliTinli,Armut
5.6,60.4,29.2,218.9,2.52,0.21,Tinli,Kayisi
7.44,54.4,32.5,202.2,3.06,0.71,Killi,Keten
7.36,36.8,18.5,195.3,2.02,0.64,MilliTinli,Fiğ
6.87,91.6,37.2,366.6,3.32,0.1,KumluTinli,Prasa
5.71,64.0,39.6,258.9,3.38,0.16,KilliTinli,Rezene
7.63,53.6,34.1,223.4,1.32,0.31,Killi,Fasulye
6.52,97.2,59.9,364.2,3.97,0.28,TinliKumlu,TazeSogan
6.33,77.5,44.9,214.1,2.98,0.24,KilliTinli,AdaCayi
6.59,47.6,27.4,160.9,1.72,0.91,Tinli,Burçak
6.94,32.9,24.5,201.0,2.11,0.5,Killi,Nohut
7.5,62.5,37.0,235.5,3.44,0.37,KumluTinli,Safran
6.07,83.2,64.2,241.2,3.68,0.46,MilliTinli,Lahana
5.88,62.6,34.6,216.0,3.47,0.35,KilliTinli,Papatya
6.34,57.9,27.8,298.5,3.76,0.21,KilliTinli,Zeytin
6.22,46.1,21.2,198.4,2.91,0.31,Tinli,Kekik
6.56,49.6,34.8,209.7,1.29,1.06,Killi,Celtik
5.55,67.8,44.5,239.4,2.91,0.33,KilliTinli,AntepFistigi
6.41,63.3,54.1,373.7,3.99,0.25,KumluTinli,Lahana
6.9,46.3,35.3,184.8,3.38,0.36,Tinli,Kiraz
6.89,64.8,35.8,203.1,3.72,0.32,KilliTinli,Kivi
5.82,48.9,28.3,230.5,3.43,0.2,KumluTinli,Anason
5.61,69.4,29.1,202.4,2.19,0.24,KumluTinli,Papatya
5.62,62.7,25.5,229.7,2.18,0.27,KumluTinli,Limon
5.67,58.1,38.6,277.6,2.31,0.22,KilliTinli,YemSalgamı
7.08,55.3,42.3,225.2,2.05,0.51,Tinli,Kenevir
7.13,75.8,22.0,287.4,2.42,0.25,Tinli,Safran
7.02,36.0,15.3,167.4,1.73,0.54,Killi,Bezelye
7.39,47.1,40.1,285.7,2.6,0.13,KumluTinli,Kekik
6.34,51.7,22.0,195.7,3.38,0.26,KumluTinli,Uzum
5.59,66.8,34.6,263.1,3.71,0.28,KilliTinli,Zeytin
7.33,53.1,36.3,218.1,2.79,0.38,KumluTinli,Limon
7.33,46.9,28.1,195.5,2.21,0.97,Tinli,Celtik
7.46,63.0,30.2,307.1,2.38,0.77,Tinli,Kanola
6.77,79.0,51.4,347.5,2.65,0.39,MilliTinli,Sarımsak
7.32,62.2,25.4,280.4,3.19,0.29,KilliTinli,Erik
7.26,59.4,44.0,250.0,2.47,0.38,Tinli,Visne
6.42,63.7,33.4,231.7,3.96,0.34,KilliTinli,Mandalina
5.87,73.3,39.8,186.3,3.42,0.19,KilliTinli,Nane
6.52,54.7,31.5,294.0,2.6,0.34,KilliTinli,Incir
6.04,62.8,48.3,313.2,3.21,0.19,MilliTinli,Roka
5.52,44.4,30.4,270.1,2.13,0.39,KilliTinli,Seftali
5.84,54.3,29.9,299.9,3.75,0.14,Tinli,Kiraz
6.84,30.9,16.8,193.7,1.92,0.35,Killi,Fasulye
7.6,43.6,29.6,226.3,2.15,1.17,Tinli,Nohut
6.65,98.6,35.2,359.1,3.96,0.46,TinliKumlu,Sarımsak
5.78,43.3,25.4,188.7,2.44,0.22,KumluTinli,MeyanKoku
6.83,74.3,27.0,286.0,2.41,0.21,KumluTinli,Salep
5.55,61.0,21.1,280.2,2.87,0.1,KumluTinli,Kayisi
7.44,62.3,49.9,289.4,2.36,0.33,Killi,Kenevir
5.51,45.0,25.9,270.6,3.37,0.13,Tinli,Muz
6.52,77.1,30.3,247.8,3.2,0.2,KumluTinli,Rezene
5.75,62.2,22.8,200.2,3.55,0.23,KilliTinli,Kusburnu
6.98,51.5,21.1,237.4,1.87,0.57,Tinli,Bezelye
7.2,51.7,29.2,226.1,2.62,0.33,Tinli,Erik
6.8,54.9,23.3,235.5,2.88,0.18,Tinli,Incir
5.92,44.5,41.8,298.8,3.52,0.26,KumluTinli,AntepFistigi
7.81,56.1,29.2,285.2,2.26,0.49,Tinli,Soya
5.9,58.2,42.3,263.2,3.7,0.2,KumluTinli,Badem
7.26,40.9,24.8,230.5,2.62,0.31,KumluTinli,Biberiye
6.59,99.5,45.8,300.6,3.12,0.29,TinliKumlu,Patlican
6.73,42.6,25.8,171.0,1.96,0.99,MilliTinli,Fiğ
6.09,85.6,61.4,272.0,3.83,0.32,TinliKumlu,Ispanak
7.17,96.0,43.3,314.6,3.14,0.11,KumluTinli,Domates
6.2,71.9,55.3,288.4,4.27,0.17,MilliTinli,Kavun
5.95,74.2,27.2,208.4,3.68,0.11,KilliTinli,Yonca
6.13,80.5,44.9,302.6,4.49,0.27,KumluTinli,Maydanoz
6.8,67.3,55.2,376.2,3.12,0.11,TinliKumlu,Patlican
7.39,41.0,36.3,279.8,3.8,0.13,KilliTinli,Portakal
6.72,63.3,35.0,283.3,3.68,0.3,KumluTinli,Nane
5.83,68.5,23.5,184.9,2.86,0.19,KilliTinli,Cay
6.35,51.1,44.8,195.2,2.71,0.31,KilliTinli,Incir
7.12,100.4,44.4,377.7,2.55,0.44,MilliTinli,Domates
7.48,80.0,29.2,277.7,2.94,0.35,KilliTinli,Kayisi
6.26,84.8,44.5,317.9,3.95,0.23,TinliKumlu,Biber
7.22,41.5,35.5,182.7,3.3,0.17,KumluTinli,Uzum
7.1,98.7,41.7,378.1,4.15,0.22,TinliKumlu,Kavun
6.02,72.6,38.0,261.2,2.96,0.37,Tinli,Kusburnu
6.06,90.4,47.6,360.3,2.68,0.48,KumluTinli,Marul
6.86,103.7,37.2,275.7,4.46,0.28,KumluTinli,Lahana
6.77,73.4,51.9,314.2,3.38,0.12,MilliTinli,Domates
5.87,78.4,44.0,239.9,2.53,0.28,Tinli,Greyfurt
7.17,64.9,37.6,214.4,2.38,0.64,Tinli,Tütün
7.71,52.7,36.1,266.8,2.17,0.79,AgirKilli,Aspir
7.44,53.8,30.0,209.4,1.2,0.74,MilliTinli,Fasulye
6.22,61.9,42.8,284.5,4.14,0.35,TinliKumlu,Ispanak
6.41,42.1,28.4,268.4,3.35,0.36,KumluTinli,Erik
7.94,56.1,36.4,266.7,2.08,0.54,AgirKilli,Kenevir
7.16,56.8,46.2,241.4,2.98,0.61,Killi,Kenevir
6.22,61.4,31.9,190.8,2.58,0.32,KilliTinli,Lavanta
5.96,40.9,33.9,202.1,2.63,0.35,KilliTinli,YemSalgamı
6.7,43.5,27.4,229.6,2.72,0.14,KumluTinli,AdaCayi
5.51,50.5,28.1,278.0,3.49,0.27,Tinli,Lavanta
7.19,65.9,24.8,254.9,3.66,0.33,KumluTinli,Incir
6.01,91.1,52.8,374.1,3.63,0.29,KumluTinli,Havuc
7.67,40.1,28.5,222.1,1.85,0.75,Killi,Fasulye
6.09,72.5,44.3,355.2,3.74,0.5,TinliKumlu,TazeSogan
5.88,73.3,27.8,212.4,3.93,0.26,Tinli,Yonca
6.44,75.8,44.2,240.8,3.14,0.25,KumluTinli,Elma
6.48,66.9,39.4,230.9,3.16,0.32,KilliTinli,Yonca
6.18,79.8,37.4,224.6,2.61,0.24,Tinli,Kivi
6.58,107.5,50.7,310.5,2.55,0.32,MilliTinli,Domates
6.72,64.4,41.9,275.1,2.05,0.33,KilliTinli,AntepFistigi
5.65,49.7,31.5,220.3,3.17,0.12,KumluTinli,Visne
5.96,46.0,26.6,198.7,3.6,0.31,KilliTinli,Korunga
7.16,39.2,32.3,232.4,2.2,0.56,MilliTinli,Bugday
6.51,87.4,43.3,263.4,4.46,0.42,MilliTinli,Kavun
7.32,79.0,45.3,309.9,3.1,0.71,AgirKilli,Kanola
7.43,49.0,30.2,292.2,2.2,0.16,KilliTinli,YemSalgamı
6.81,58.2,42.0,270.1,2.78,0.14,KumluTinli,Limon
7.01,62.3,43.0,289.2,1.61,0.35,KumluTinli,Karpuz
7.39,48.2,19.6,234.2,1.8,0.32,MilliTinli,Fiğ
6.0,47.2,28.6,255.7,3.86,0.14,Tinli,Cay
6.85,61.1,29.2,217.2,3.56,0.16,KumluTinli,Lavanta
7.11,25.5,21.5,183.0,1.91,0.38,Tinli,Celtik
6.46,76.8,38.1,200.8,3.13,0.14,KilliTinli,MeyanKoku
6.11,62.6,35.1,211.7,2.02,0.38,KilliTinli,Kivi
6.68,66.6,40.5,277.3,3.24,0.23,KumluTinli,Limon
5.69,75.6,25.2,208.5,2.03,0.28,KumluTinli,Rezene
6.95,108.5,64.2,359.2,2.26,0.48,TinliKumlu,Karpuz
7.51,27.8,26.7,239.6,2.15,0.67,MilliTinli,Burçak
6.36,64.6,29.5,207.8,2.05,0.28,KilliTinli,Rezene
5.61,41.8,29.3,251.3,2.16,0.35,KilliTinli,Findik
6.97,71.8,40.9,335.4,3.61,0.13,TinliKumlu,Ispanak
7.67,37.7,28.9,177.8,1.83,0.61,MilliTinli,Fasulye
6.85,81.3,34.0,236.7,2.86,0.51,Killi,Susam
6.77,59.3,34.6,193.4,3.12,0.39,KumluTinli,Muz
6.23,58.8,35.5,213.3,3.86,0.15,KilliTinli,Kusburnu
6.98,87.5,35.3,359.5,3.43,0.4,TinliKumlu,Hiyar
7.14,26.3,17.4,160.5,1.75,0.99,MilliTinli,Bezelye
7.6,51.4,26.3,214.6,2.23,0.73,MilliTinli,Cavdar
6.9,74.5,38.7,277.3,2.52,0.17,MilliTinli,Tere
