pH,Azot_ppm,Fosfor_ppm,Potasyum_ppm,OrganikMadde,Tuzluluk,GecmisVerim_kg,ToprakTuru,UrunTipi,OnerilenAzot,OnerilenFosfor,OnerilenPotasyum
6.56,93.8,61.5,268.5,3.81,0.32,5875.9,TinliKumlu,Kavun,13.6,6.5,6.9
7.39,40.4,35.4,186.4,2.55,0.23,3375.7,KilliTinli,Rezene,20.5,11.0,0.0
5.55,64.2,23.4,212.3,2.26,0.2,3071.8,KumluTinli,Greyfurt,17.5,12.2,8.6
6.07,68.7,35.1,241.8,3.49,0.15,3518.2,KilliTinli,Ceviz,17.1,10.7,0.0
7.16,75.4,56.6,241.9,4.19,0.17,5761.4,KumluTinli,Kavun,16.0,7.6,7.4
7.01,73.9,24.9,253.0,3.21,0.11,3717.5,KilliTinli,Greyfurt,16.0,12.2,0.0
7.13,57.2,43.6,221.6,2.69,0.37,3180.1,KilliTinli,Kekik,17.8,9.7,0.0
7.08,33.4,18.9,232.4,1.74,0.6,309.1,Tinli,Nohut,4.3,8.9,0.0
6.38,85.6,45.2,367.9,3.06,0.4,1890.9,KumluTinli,Ispanak,14.5,9.2,4.0
6.64,57.4,21.7,273.5,2.65,0.24,3568.2,KumluTinli,Salep,18.5,12.9,0.0
7.73,35.7,26.1,196.4,1.57,1.02,612.2,MilliTinli,Bezelye,3.1,8.3,0.0
6.83,82.6,57.7,248.2,4.28,0.28,5181.2,KumluTinli,Domates,15.2,7.6,7.9
6.98,75.3,46.9,268.4,2.09,0.56,4752.0,Killi,SekerPancari,8.8,4.9,0.0
6.28,67.9,34.4,297.0,3.71,0.32,3615.8,Tinli,Armut,16.9,10.7,0.0
7.07,33.0,22.4,182.9,1.47,0.49,312.8,Killi,Burçak,1.8,8.9,0.0
5.64,76.8,37.7,291.7,3.07,0.36,3470.5,Tinli,Badem,15.5,10.3,0.0
6.98,71.8,30.9,224.5,2.91,0.22,3266.9,Tinli,OglanOtu,16.1,11.3,0.0
6.68,79.1,50.5,287.0,4.42,0.3,5859.5,KumluTinli,Kavun,15.4,8.6,6.5
6.88,81.8,46.1,347.1,3.91,0.41,2053.3,TinliKumlu,Turp,15.2,9.1,4.3
6.91,50.1,28.5,298.8,3.61,0.32,3483.1,KumluTinli,Biberiye,19.3,11.4,0.0
6.49,43.0,39.6,279.7,3.9,0.14,3689.0,KilliTinli,Zeytin,19.7,9.9,0.0
7.83,78.2,46.3,239.9,2.53,0.59,5349.8,Killi,Susam,8.8,5.2,0.0
6.72,75.2,28.0,211.7,3.28,0.27,2972.1,Tinli,Papatya,15.6,12.1,0.0
5.55,42.8,42.1,252.0,2.59,0.19,3078.4,KilliTinli,Kestane,19.9,9.7,0.0
7.68,28.6,27.2,178.0,1.69,1.07,298.9,MilliTinli,Fiğ,4.6,8.1,0.0
7.49,51.6,35.0,202.5,2.95,0.35,3514.9,KilliTinli,Incir,18.6,10.7,0.0
7.08,95.7,38.0,266.1,2.67,0.14,2064.2,KumluTinli,Sarımsak,13.5,10.2,7.3
5.61,70.6,24.4,299.2,3.17,0.25,3504.9,KumluTinli,MeyanKoku,16.8,12.5,0.0
6.54,77.5,44.0,277.4,3.6,0.35,5323.3,KumluTinli,Hiyar,16.0,9.4,6.9
6.15,58.3,24.9,281.1,2.45,0.32,3173.5,Tinli,Kiraz,18.1,12.4,0.0
5.73,41.5,24.5,272.7,2.23,0.19,3076.2,KumluTinli,Greyfurt,20.3,12.4,6.5
6.17,54.6,28.0,230.4,3.76,0.33,3537.6,Tinli,Erik,18.3,12.0,0.0
6.33,99.6,61.9,302.1,2.09,0.15,4311.3,MilliTinli,Karpuz,13.1,6.9,0.0
7.28,47.8,25.6,220.7,3.51,0.36,3712.5,Tinli,Findik,19.4,12.0,0.0
6.31,87.8,59.4,323.7,2.02,0.25,5295.8,MilliTinli,Karpuz,14.1,7.4,0.0
6.77,91.3,43.2,278.9,2.5,0.26,2068.1,MilliTinli,Sarımsak,14.3,9.5,0.0
7.53,84.5,48.1,234.4,3.08,0.53,5675.9,Tinli,Soya,8.0,4.6,0.0
5.89,72.8,29.4,243.5,3.86,0.23,3384.2,KumluTinli,Kimyon,16.4,11.7,0.0
6.51,80.6,47.2,372.8,2.65,0.32,2121.3,TinliKumlu,TazeSogan,15.0,8.8,3.9
6.59,35.1,32.4,204.7,2.02,0.32,299.4,MilliTinli,Bezelye,2.1,7.1,0.0
6.87,47.9,21.2,193.0,2.65,0.16,3247.0,KilliTinli,Kimyon,19.0,12.8,0.0
5.69,52.3,28.9,189.3,2.63,0.19,3445.9,KilliTinli,Kiraz,18.3,11.7,0.0
6.75,101.4,46.9,297.9,3.33,0.2,2073.2,KumluTinli,Patlican,13.2,9.0,6.0
6.9,56.7,40.3,206.9,3.41,0.35,3270.7,KilliTinli,Ayva,18.2,9.7,0.0
6.3,70.6,62.7,242.9,3.06,0.19,5251.1,KumluTinli,Lahana,16.8,6.6,8.0
6.86,48.1,31.5,251.5,2.14,0.22,3097.0,KilliTinli,Cilek,19.6,11.0,0.0
7.12,72.0,38.5,293.5,3.11,0.2,3460.5,Tinli,MeyanKoku,16.7,10.2,0.0
7.0,43.1,28.3,296.6,2.42,0.22,3014.6,KilliTinli,Papatya,19.6,11.7,0.0
6.38,107.1,50.6,309.3,2.99,0.26,2162.1,KumluTinli,Sarımsak,12.5,8.6,5.5
7.03,85.5,30.8,228.2,2.24,0.44,5456.0,Killi,YerFistigi,7.7,7.5,0.0
7.97,71.9,35.0,269.1,3.12,0.74,5508.0,Tinli,Aycicegi,9.7,6.5,0.0
6.96,47.7,30.8,225.6,1.33,0.82,247.8,Tinli,Nohut,4.7,7.5,0.0
7.1,50.5,28.0,234.0,1.85,1.19,283.2,MilliTinli,Celtik,12.1,7.9,0.0
7.48,50.8,48.7,268.7,3.4,0.42,5381.0,Killi,Soya,11.9,4.9,0.0
6.0,67.5,34.5,245.2,3.35,0.38,3658.2,KilliTinli,Kimyon,16.9,10.8,0.0
7.74,44.1,17.8,161.6,1.6,0.87,282.2,MilliTinli,Mercimek,3.4,9.5,0.0
7.75,71.5,34.0,305.6,2.52,0.52,5126.3,Killi,Aycicegi,9.2,7.1,0.0
7.02,73.2,44.7,244.6,3.05,0.23,3543.8,KumluTinli,AntepFistigi,16.0,9.1,0.0
7.33,71.9,25.6,266.5,2.72,0.11,3609.7,KilliTinli,Zeytin,16.7,11.9,0.0
6.85,44.5,34.7,254.8,2.01,0.28,3226.0,KilliTinli,Kimyon,19.3,10.7,0.0
6.09,43.9,43.2,220.3,2.97,0.13,2974.8,KumluTinli,Visne,19.5,9.3,8.0
7.35,74.9,44.4,205.0,3.32,0.12,3642.7,KilliTinli,Armut,15.8,9.4,0.0
6.64,66.7,41.7,274.0,2.86,0.37,3465.1,Tinli,Lavanta,16.8,9.6,0.0
7.07,41.1,42.9,207.1,3.01,0.19,3658.4,KumluTinli,Muz,19.8,9.7,8.5
6.73,58.5,28.5,260.6,2.1,0.27,3157.3,Tinli,Incir,18.2,12.0,0.0
7.38,62.1,40.0,222.5,3.02,0.7,5618.1,AgirKilli,Soya,10.7,6.2,0.0
7.4,85.6,39.7,273.3,2.1,0.3,5233.7,AgirKilli,YerFistigi,7.8,6.1,0.0
6.51,62.5,41.9,348.5,3.04,0.37,4644.1,KumluTinli,Hiyar,17.3,9.4,4.4
6.65,59.4,20.6,194.8,2.31,0.27,3100.9,KilliTinli,Rezene,18.0,12.6,0.0
6.19,67.2,25.4,284.9,3.87,0.12,3761.1,KumluTinli,Korunga,16.6,12.1,0.0
6.85,87.2,59.9,341.3,2.95,0.24,2118.7,MilliTinli,Turp,14.4,6.9,0.0
5.8,60.3,34.2,278.0,3.12,0.4,3569.6,KumluTinli,Rezene,18.0,10.9,0.0
7.02,56.7,22.6,236.7,2.74,0.17,3413.4,KumluTinli,Greyfurt,18.2,12.3,7.5
6.58,105.5,48.1,269.9,4.39,0.34,2099.3,KumluTinli,Biber,12.5,9.1,6.6
6.62,50.0,22.5,235.7,1.74,0.99,288.8,Tinli,Yulaf,12.0,8.9,0.0
7.87,85.5,45.0,289.2,3.39,0.37,5281.8,Tinli,Aspir,8.1,5.5,0.0
6.63,51.6,21.2,287.6,3.42,0.16,3565.8,KilliTinli,Biberiye,18.5,12.5,0.0
6.33,93.2,45.7,274.5,2.66,0.13,1905.3,TinliKumlu,Patlican,14.2,9.4,6.9
6.72,36.7,28.1,181.7,1.69,0.79,282.3,Killi,Nohut,2.9,8.0,0.0
6.3,78.7,43.8,344.7,3.49,0.38,5748.5,TinliKumlu,Hiyar,15.7,9.6,4.9
5.96,76.8,43.4,183.5,2.35,0.13,3537.9,Tinli,Papatya,16.0,9.7,0.0
7.03,58.5,44.0,290.8,2.25,0.27,3033.1,KilliTinli,Lavanta,17.8,9.3,0.0
5.73,60.8,31.5,218.9,2.49,0.14,2936.7,KumluTinli,YemSalgamı,17.4,11.2,0.0
6.6,93.5,57.4,251.0,2.75,0.37,1819.7,TinliKumlu,Havuc,13.6,7.4,7.2
6.66,68.9,25.5,293.7,3.12,0.27,3066.2,KilliTinli,YemSalgamı,16.5,12.2,0.0
6.65,106.0,43.0,274.8,2.63,0.17,4845.7,MilliTinli,Hiyar,12.2,9.6,0.0
6.8,69.5,44.9,279.5,3.48,0.24,2059.0,MilliTinli,TazeSogan,17.0,9.5,0.0
7.09,72.1,48.1,229.7,3.01,0.45,5083.9,AgirKilli,Susam,9.4,4.6,0.0
5.79,50.1,39.3,213.9,3.12,0.24,3571.4,Tinli,Kestane,19.1,10.3,0.0
7.56,84.9,37.2,243.8,2.67,0.43,5411.3,AgirKilli,SekerPancari,8.0,6.7,0.0
7.15,67.0,23.2,220.5,2.92,0.15,3629.3,KilliTinli,Limon,17.3,12.6,0.0
7.33,36.1,32.6,231.1,1.34,0.57,318.4,MilliTinli,Yulaf,14.0,6.9,0.0
6.91,61.5,41.0,318.9,3.99,0.39,2226.9,KumluTinli,Biber,17.9,10.1,5.6
6.19,100.9,43.3,241.4,3.44,0.35,2146.6,TinliKumlu,Havuc,12.9,9.2,7.5
6.32,77.6,28.3,230.5,2.81,0.11,3388.5,KumluTinli,Cay,16.0,11.6,8.5
6.66,69.3,32.5,266.2,3.4,0.22,3292.3,KumluTinli,Visne,16.6,11.1,7.0
7.96,84.8,34.9,274.1,3.29,0.22,5876.1,AgirKilli,Tütün,7.8,6.8,0.0
7.83,79.1,43.2,264.6,2.32,0.77,4597.6,AgirKilli,Keten,8.1,5.4,0.0
7.7,80.1,39.7,215.8,2.74,0.74,5028.1,Killi,Aycicegi,8.4,5.8,0.0
6.36,74.4,24.0,287.4,2.99,0.1,3498.7,KilliTinli,Visne,16.2,12.6,0.0
6.3,52.5,36.5,230.3,3.1,0.39,3290.8,Tinli,SiloMisiri,18.7,10.6,0.0
7.08,59.1,26.1,245.5,3.26,0.34,3231.4,Tinli,Kusburnu,18.2,12.1,0.0
7.25,65.2,35.1,228.1,3.32,0.21,3069.0,KilliTinli,MeyanKoku,17.2,11.0,0.0
6.89,96.9,37.6,370.7,2.52,0.11,1913.7,TinliKumlu,Patlican,13.7,10.1,3.6
6.59,60.9,23.5,197.3,3.65,0.24,3616.9,KumluTinli,MeyanKoku,17.6,12.8,0.0
6.22,82.1,54.8,350.2,4.27,0.14,2253.9,TinliKumlu,Prasa,14.8,8.1,4.3
5.59,44.7,22.5,219.5,2.14,0.2,3236.4,KumluTinli,Kekik,19.9,12.8,0.0
7.8,81.3,48.0,218.5,2.28,0.67,4585.9,Tinli,Tütün,8.2,4.7,0.0
6.3,98.6,54.6,298.0,3.95,0.3,5589.9,MilliTinli,Lahana,13.3,7.9,0.0
6.12,101.0,53.1,340.6,3.06,0.44,1980.0,KumluTinli,Turp,13.1,8.2,4.8
6.93,76.9,28.5,283.3,3.91,0.35,3652.0,KumluTinli,Armut,15.9,11.6,6.6
6.63,70.1,39.7,199.7,3.76,0.31,3382.8,Tinli,Papatya,16.8,10.1,0.0
7.31,52.2,31.5,291.4,2.16,0.25,3254.9,Tinli,Cay,18.4,11.3,0.0
5.96,55.1,34.0,253.8,3.17,0.38,3407.5,KumluTinli,Nar,18.4,11.0,7.7
7.49,42.4,18.2,194.0,1.74,0.74,279.2,Killi,Arpa,13.1,9.3,0.0
5.98,62.4,35.9,208.7,3.12,0.35,3516.0,Tinli,Ayva,17.3,10.6,0.0
7.79,76.6,33.0,213.4,2.37,0.57,4839.6,Tinli,Keten,8.9,7.2,0.0
6.99,54.0,20.4,188.3,1.33,0.31,642.9,MilliTinli,Bezelye,2.9,8.8,0.0
6.95,82.4,59.8,355.9,3.17,0.46,2126.0,KumluTinli,Tere,15.0,7.2,4.1
6.9,75.0,41.6,357.1,3.17,0.29,1963.3,KumluTinli,Havuc,16.3,10.0,4.3
6.88,105.6,63.1,304.0,4.09,0.49,5517.4,MilliTinli,Lahana,12.6,6.3,0.0
6.48,66.9,45.7,275.2,2.52,0.31,1980.5,TinliKumlu,Ispanak,17.3,9.1,6.9
6.4,60.3,39.5,348.4,3.8,0.1,2176.7,KumluTinli,TazeSogan,17.4,10.4,4.7
7.09,64.8,42.1,247.1,2.77,0.3,5337.5,AgirKilli,Soya,10.1,6.0,0.0
6.22,84.6,62.4,278.4,3.06,0.22,2101.6,MilliTinli,Tere,14.8,6.4,0.0
6.64,51.4,24.7,231.4,3.61,0.27,3554.3,KumluTinli,Armut,18.5,12.4,8.1
6.95,84.5,36.1,361.0,3.81,0.47,5547.3,TinliKumlu,Lahana,14.5,10.8,4.5
6.51,46.1,34.7,283.0,3.45,0.28,2989.4,KumluTinli,YemSalgamı,19.8,10.8,0.0
5.82,61.7,25.7,204.1,2.56,0.37,3133.9,KumluTinli,Armut,17.5,12.2,8.9
7.19,64.8,30.1,241.1,2.09,0.34,4776.9,Killi,Aspir,10.0,7.6,0.0
6.05,61.8,27.6,261.6,2.45,0.27,3058.7,Tinli,Lavanta,17.5,12.0,0.0
6.71,55.8,43.7,199.4,2.96,0.15,3425.1,KilliTinli,YemSalgamı,18.5,9.3,0.0
7.1,77.1,26.0,293.9,3.1,0.34,3629.2,KumluTinli,Erik,16.1,12.1,6.4
6.18,90.3,60.6,270.1,3.2,0.25,5404.6,KumluTinli,Domates,14.2,6.9,7.0
7.33,66.7,47.1,213.7,2.7,0.8,4876.9,AgirKilli,Susam,9.8,4.9,0.0
7.61,79.3,45.2,319.1,2.7,0.52,5139.2,Tinli,SekerPancari,8.5,5.0,0.0
5.97,70.5,37.2,232.7,3.13,0.1,3388.6,KumluTinli,Badem,16.3,10.3,0.0
6.01,65.8,46.3,351.8,2.04,0.47,5268.7,TinliKumlu,Karpuz,17.4,8.8,4.8
6.22,79.2,24.7,218.8,3.74,0.34,3640.3,Tinli,Portakal,15.7,12.5,0.0
7.25,49.9,37.2,189.1,3.37,0.35,3699.3,Tinli,Nar,18.9,10.6,0.0
6.71,38.2,25.5,208.2,1.42,1.06,295.3,Killi,Bezelye,4.4,8.2,0.0
7.76,74.9,42.5,242.1,2.86,0.58,5572.9,Tinli,SekerPancari,8.9,5.9,0.0
6.16,60.7,33.6,227.1,2.67,0.35,3448.0,Tinli,Ayva,17.6,11.0,0.0
7.04,70.6,46.6,249.4,3.29,0.32,5422.4,AgirKilli,Aspir,9.8,4.8,0.0
5.62,58.5,21.2,249.7,2.29,0.25,3134.1,KilliTinli,Incir,17.6,12.6,0.0
7.15,66.5,50.8,241.8,2.76,0.32,5168.0,TinliKumlu,Domates,16.9,8.4,7.9
6.75,41.8,37.4,233.9,2.71,0.18,3418.2,KilliTinli,Korunga,19.9,10.5,0.0
6.44,64.9,33.7,212.9,3.61,0.35,3748.3,KumluTinli,AntepFistigi,17.3,11.2,0.0
6.55,49.9,28.8,286.2,3.71,0.25,3005.3,KilliTinli,MeyanKoku,19.2,11.8,0.0
7.04,62.7,56.2,366.8,4.29,0.29,2311.0,TinliKumlu,Maydanoz,17.1,7.4,4.0
7.21,38.2,26.3,237.6,1.23,1.09,298.5,Killi,Cavdar,13.5,8.2,0.0
7.19,79.8,42.8,213.6,3.3,0.39,3513.5,Tinli,Muz,15.5,9.3,0.0
6.62,106.4,36.4,322.7,3.73,0.39,2074.0,KumluTinli,Prasa,11.9,10.4,5.3
7.17,95.7,49.5,245.6,3.96,0.4,2168.9,MilliTinli,TazeSogan,13.2,8.5,0.0
6.1,50.6,40.9,180.7,3.98,0.35,3384.4,KilliTinli,Cay,19.0,9.7,0.0
6.7,92.8,35.3,358.1,3.74,0.27,2125.3,MilliTinli,Marul,14.0,10.9,0.0
6.41,75.0,35.9,245.0,4.04,0.36,5487.7,KumluTinli,Hiyar,15.8,10.6,7.4
6.2,64.0,59.6,364.2,3.89,0.17,2264.5,MilliTinli,Biber,17.0,6.9,0.0
7.18,41.8,25.0,230.8,3.31,0.12,3405.1,KilliTinli,Greyfurt,20.1,12.3,0.0
6.4,57.0,33.9,234.1,2.85,0.18,3379.5,KilliTinli,Cilek,18.3,10.9,0.0
6.1,73.1,47.7,246.8,4.24,0.42,5564.0,MilliTinli,Lahana,16.3,9.0,0.0
6.53,94.2,53.3,261.0,4.33,0.21,2235.1,TinliKumlu,Kereviz,13.6,8.0,7.1
7.76,88.3,45.0,223.3,2.92,0.54,5159.2,Killi,Tütün,7.0,5.3,0.0
7.05,74.9,45.0,306.8,3.06,0.43,5618.0,Tinli,Kenevir,9.0,5.5,0.0
6.51,106.9,63.8,319.5,2.31,0.27,4571.6,MilliTinli,Karpuz,11.9,6.4,0.0
6.81,78.1,39.2,252.0,3.31,0.3,406.3,Tinli,Pamuk,8.9,5.8,0.0
7.34,63.9,43.4,245.8,4.0,0.16,3750.3,Tinli,Armut,17.5,9.4,0.0
7.39,57.5,38.8,255.1,3.04,0.7,417.9,AgirKilli,Pamuk,11.4,5.9,0.0
6.12,74.9,39.3,299.3,2.16,0.44,4811.7,MilliTinli,Karpuz,16.0,10.1,0.0
6.35,70.0,35.5,294.5,2.99,0.31,3231.0,KumluTinli,Ayva,16.3,10.7,6.1
7.01,69.9,25.0,247.6,3.54,0.24,3100.1,KumluTinli,AdaCayi,16.4,12.4,0.0
7.37,43.6,39.7,276.3,3.21,0.3,3450.9,KumluTinli,Portakal,19.9,10.0,6.8
6.05,90.9,43.1,329.2,3.69,0.27,2027.6,MilliTinli,TazeSogan,14.0,9.5,0.0
6.46,72.2,29.0,286.3,2.33,0.3,3382.3,Tinli,Mandalina,16.2,11.7,0.0
7.59,84.7,37.1,215.6,2.65,0.79,4908.6,AgirKilli,Aycicegi,7.5,6.5,0.0
6.36,62.9,57.1,250.1,3.16,0.49,1964.8,KumluTinli,TazeSogan,17.4,7.2,7.9
6.95,32.4,33.1,173.6,1.25,1.18,301.5,Killi,Bugday,14.1,6.8,0.0
5.55,58.0,35.1,222.4,2.99,0.38,3190.7,KumluTinli,AntepFistigi,17.8,10.7,0.0
6.51,76.8,36.6,344.1,3.84,0.26,2004.8,KumluTinli,Maydanoz,15.7,10.6,4.7
7.93,59.5,40.9,286.5,2.52,0.65,392.5,Killi,Pamuk,10.5,6.2,0.0
7.31,50.7,33.6,217.3,2.12,1.13,317.5,Tinli,Arpa,12.1,6.8,0.0
7.44,67.5,43.6,248.2,3.47,0.27,5613.8,AgirKilli,Aycicegi,9.5,5.6,0.0
5.66,67.9,24.1,262.5,3.91,0.21,3855.0,Tinli,Visne,17.2,12.6,0.0
7.26,70.3,27.9,218.0,3.9,0.27,3408.5,Tinli,Limon,16.3,12.1,0.0
6.95,71.5,60.3,260.3,2.27,0.44,4895.5,KumluTinli,Karpuz,16.8,7.2,7.3
7.3,73.9,31.7,269.5,2.89,0.77,5467.6,AgirKilli,YerFistigi,9.2,7.2,0.0
7.08,78.9,34.4,244.5,3.28,0.28,3642.0,KumluTinli,Kekik,15.8,11.0,0.0
6.69,46.3,32.9,271.2,3.91,0.39,3592.5,Tinli,SiloMisiri,19.3,11.0,0.0
6.05,88.8,56.4,367.7,3.83,0.11,2154.7,KumluTinli,Kereviz,14.0,7.4,4.2
6.65,49.1,37.4,197.7,3.09,0.33,3367.2,KumluTinli,MeyanKoku,18.8,10.2,0.0
6.91,56.6,28.6,246.3,2.41,0.3,3299.8,KumluTinli,Zeytin,17.9,11.8,7.6
6.67,65.1,54.6,324.1,3.3,0.35,5287.5,MilliTinli,Hiyar,17.5,8.1,0.0
7.07,48.7,28.2,168.9,1.41,0.39,301.7,Killi,Arpa,12.4,7.6,0.0
6.65,63.5,40.1,263.9,2.18,0.16,3289.3,KumluTinli,Badem,17.6,10.0,0.0
7.8,72.1,32.4,285.0,2.01,0.41,5015.4,Tinli,Tütün,9.1,7.1,0.0
7.31,70.6,42.5,180.5,3.58,0.37,3420.0,Tinli,Safran,16.7,9.8,0.0
7.67,33.5,17.1,223.1,2.22,0.66,306.0,Killi,Nohut,3.7,9.6,0.0
7.05,64.5,41.8,204.5,2.05,0.3,3048.1,KumluTinli,Nar,17.4,9.5,8.7
7.73,55.7,27.9,240.0,2.58,0.52,5294.9,Killi,Aspir,11.2,7.7,0.0
6.3,76.8,36.4,261.3,3.92,0.35,3396.5,KumluTinli,Yonca,15.7,10.5,0.0
6.56,52.8,30.8,240.6,3.61,0.39,3161.0,KumluTinli,Elma,18.4,11.7,8.0
6.19,51.8,39.0,298.8,3.04,0.24,3500.9,KumluTinli,Nane,18.5,9.9,0.0
7.15,102.4,60.2,295.6,3.34,0.43,2178.8,KumluTinli,Kereviz,12.4,6.9,6.0
6.88,79.2,36.3,315.9,3.27,0.24,2165.4,MilliTinli,Tere,15.1,10.8,0.0
7.39,30.1,34.1,164.4,1.52,1.13,533.7,Killi,Yulaf,14.0,6.9,0.0
7.1,59.4,39.3,266.4,2.94,0.33,5739.5,Killi,Susam,11.1,6.2,0.0
7.13,78.9,40.9,221.2,3.39,0.56,5752.3,Killi,Kenevir,8.9,5.7,0.0
7.97,81.9,32.5,270.1,2.34,0.57,4772.3,Killi,Kenevir,8.0,7.0,0.0
7.32,43.5,37.1,297.3,3.58,0.17,3785.1,KumluTinli,Nane,19.9,10.6,0.0
7.0,43.3,43.0,239.3,2.38,0.28,2758.3,KilliTinli,Nar,20.2,9.6,0.0
6.26,75.3,61.2,299.6,2.61,0.28,1863.7,KumluTinli,TazeSogan,15.9,6.9,6.4
7.24,68.0,49.0,221.7,3.26,0.59,5313.8,Killi,Soya,9.9,4.8,0.0
6.3,93.3,42.0,315.4,4.24,0.49,2146.8,KumluTinli,Tere,13.9,9.7,5.7
6.91,78.8,39.4,256.1,3.58,0.24,2212.9,KumluTinli,TazeSogan,15.3,10.1,7.3
7.38,42.6,43.0,185.3,2.69,0.13,3598.0,KumluTinli,Kekik,19.7,9.4,0.0
7.13,63.6,29.6,287.7,2.04,0.52,5373.9,AgirKilli,Kanola,10.2,7.6,0.0
6.79,58.9,40.7,249.3,3.43,0.13,3653.6,KilliTinli,Muz,18.3,10.2,0.0
6.93,47.0,27.4,237.6,3.2,0.19,3414.0,KilliTinli,Kekik,19.5,11.8,0.0
6.35,102.2,53.2,267.1,4.49,0.19,2274.1,KumluTinli,Turp,12.9,8.0,6.8
6.99,61.3,47.4,221.8,2.98,0.26,5555.0,AgirKilli,Susam,10.4,4.7,0.0
7.35,69.9,29.9,254.6,2.75,0.78,5353.0,Tinli,Keten,10.0,7.6,0.0
6.26,40.5,42.5,246.4,2.21,0.18,3121.6,Tinli,Yonca,20.0,9.9,0.0
7.36,49.6,29.4,257.7,3.51,0.19,3064.0,Tinli,AntepFistigi,19.0,11.3,0.0
7.92,65.1,45.9,242.0,2.73,0.63,369.6,AgirKilli,Pamuk,10.3,5.3,0.0
5.78,54.2,41.9,298.8,3.24,0.19,3506.4,Tinli,Kivi,18.2,10.0,0.0
7.95,51.5,41.5,275.8,2.98,0.29,5612.6,Killi,Aycicegi,12.1,5.6,0.0
6.35,84.4,38.0,370.6,4.42,0.18,6143.4,MilliTinli,Hiyar,15.2,10.4,0.0
6.44,76.3,42.9,254.9,2.55,0.4,3202.6,KilliTinli,YemSalgamı,15.8,9.3,0.0
5.72,59.9,20.1,281.8,3.75,0.19,3410.8,KilliTinli,Kimyon,18.0,13.1,0.0
6.38,47.6,35.2,266.5,2.11,0.24,3212.9,Tinli,Kayisi,19.4,10.6,0.0
7.16,61.5,55.0,275.4,2.73,0.22,1703.4,KumluTinli,Turp,17.5,7.8,6.8
7.45,39.9,23.8,233.0,1.58,0.98,658.6,MilliTinli,Celtik,12.9,8.5,0.0
6.09,53.6,33.9,256.0,2.3,0.26,3319.7,KumluTinli,AdaCayi,18.7,10.7,0.0
7.43,72.1,34.8,314.8,3.33,0.22,5409.4,Tinli,Tütün,9.1,6.9,0.0
7.14,79.8,21.0,263.9,3.9,0.34,3688.0,KumluTinli,Erik,15.7,12.6,7.1
6.88,58.1,33.1,181.3,3.97,0.22,3411.3,KumluTinli,Kimyon,18.3,11.2,0.0
5.94,59.7,28.1,284.5,3.79,0.15,3579.8,KilliTinli,OglanOtu,18.0,11.7,0.0
5.87,77.3,22.3,213.9,2.78,0.21,3607.8,Tinli,Rezene,15.5,12.6,0.0
5.65,76.2,20.3,186.6,2.51,0.37,3326.9,Tinli,Rezene,15.5,13.2,0.0
6.68,63.4,56.8,266.8,4.11,0.13,2271.8,MilliTinli,Patlican,17.2,7.8,0.0
5.62,58.4,23.4,181.3,3.74,0.21,3473.9,Tinli,Kivi,17.6,12.3,0.0
6.32,71.5,56.4,369.1,4.06,0.33,2296.6,KumluTinli,Sarımsak,16.1,7.8,3.9
6.51,40.6,35.3,213.0,3.15,0.32,3595.8,KumluTinli,Cilek,19.9,10.6,8.6
6.89,28.8,24.6,187.3,1.29,0.39,661.1,Killi,Burçak,2.3,8.5,0.0
6.92,103.9,36.2,283.3,4.17,0.29,2166.0,TinliKumlu,Sarımsak,12.5,10.9,6.2
7.24,83.5,45.9,254.6,2.37,0.65,5158.5,AgirKilli,Kenevir,8.2,5.2,0.0
6.89,80.0,36.1,331.5,3.37,0.35,1951.4,MilliTinli,Maydanoz,15.5,10.4,0.0
6.17,65.9,24.4,263.1,3.58,0.22,3400.0,KumluTinli,Kayisi,17.1,12.4,7.2
7.75,77.0,30.4,307.1,2.54,0.21,5003.8,Killi,YerFistigi,9.2,7.4,0.0
6.51,42.0,24.7,186.5,1.81,1.19,303.6,MilliTinli,Bugday,12.6,8.0,0.0
6.66,48.8,28.7,260.0,3.89,0.34,3565.1,Tinli,Incir,19.5,11.6,0.0
7.27,72.0,22.7,290.5,3.13,0.39,3454.7,KumluTinli,Kestane,16.6,12.8,0.0
7.46,73.2,39.6,225.6,2.81,0.36,3194.2,Tinli,Anason,16.0,10.1,0.0
5.5,48.0,43.0,197.5,2.95,0.16,3226.9,Tinli,Badem,19.3,9.4,0.0
5.95,66.6,33.4,215.8,3.63,0.24,3452.4,KumluTinli,Erik,16.8,10.8,8.7
5.79,56.2,30.6,275.7,2.74,0.16,3466.6,Tinli,Elma,18.6,11.2,0.0
6.84,54.3,36.5,287.9,3.28,0.19,3461.9,Tinli,Nane,18.2,10.3,0.0
6.97,72.0,45.8,358.9,3.68,0.41,2205.0,TinliKumlu,Tere,16.0,9.0,4.1
7.43,65.5,38.3,296.1,2.18,0.18,3114.2,KilliTinli,Badem,17.3,10.1,0.0
5.74,73.2,21.8,194.1,3.08,0.16,2983.3,KumluTinli,Greyfurt,15.9,12.6,8.9
7.75,51.2,24.1,186.8,1.92,0.48,315.7,Tinli,Bugday,11.7,8.1,0.0
6.13,75.5,54.4,326.7,3.11,0.45,2126.4,MilliTinli,Roka,16.0,7.7,0.0
6.95,94.6,59.3,306.7,4.27,0.26,2280.3,TinliKumlu,Patlican,13.4,6.8,6.0
