pH,EC,Sertlik,Nitrat,Nitrit,Sodyum,Klor,SulamayaUygun
7.7,0.82,18.3,21.3,0.017,18.6,20.6,True
7.74,0.52,10.4,10.5,0.016,37.4,20.6,True
6.71,0.73,12.6,22.3,0.027,40.8,43.3,True
6.52,0.73,13.5,19.1,0.012,23.2,38.3,True
7.75,0.38,13.7,11.9,0.032,39.8,24.8,True
6.73,0.87,20.3,12.4,0.033,16.6,18.4,True
9.22,2.99,47.6,87.1,0.816,146.3,396.3,False
5.76,2.69,40.9,56.4,1.165,227.7,366.2,False
7.53,0.24,20.2,7.5,0.011,39.3,20.6,True
6.96,0.75,18.0,16.3,0.031,14.7,56.9,True
7.69,0.79,13.2,20.5,0.034,21.4,19.5,True
7.37,0.29,21.6,10.1,0.034,42.2,22.7,True
6.84,0.8,21.5,20.8,0.025,40.4,43.2,True
7.13,0.75,10.2,23.5,0.019,32.1,59.1,True
6.82,0.42,19.7,19.8,0.032,13.9,21.0,True
4.73,3.67,37.6,76.9,1.588,265.2,329.4,False
9.34,2.54,46.5,72.7,1.592,249.9,269.5,False
8.84,2.99,57.4,63.7,0.646,153.3,290.1,False
7.1,0.87,18.7,13.0,0.035,19.5,57.2,True
6.73,0.27,18.2,8.5,0.023,27.3,45.3,True
6.67,0.24,10.8,21.0,0.028,44.3,44.0,True
7.56,0.23,10.3,17.7,0.008,23.0,15.1,True
6.62,0.54,20.3,23.2,0.024,34.5,42.5,True
7.7,0.35,15.3,19.6,0.029,43.5,58.5,True
6.8,0.3,15.5,11.1,0.013,11.3,29.1,True
6.94,0.67,20.2,7.0,0.013,30.8,18.8,True
8.93,4.24,36.0,79.4,1.941,240.1,305.1,False
7.15,0.24,10.4,9.4,0.029,43.7,40.0,True
6.72,0.31,16.9,10.7,0.032,18.8,30.1,True
4.63,4.19,57.5,63.2,1.012,243.6,255.1,False
8.63,4.32,37.4,80.4,1.252,171.3,280.1,False
5.18,2.6,55.7,76.2,1.432,206.0,386.3,False
7.38,0.38,19.6,23.8,0.025,12.5,47.0,True
6.97,0.7,17.3,11.2,0.027,10.1,45.2,True
6.86,0.45,15.2,19.8,0.023,15.3,55.1,True
6.56,0.37,21.7,21.0,0.039,15.4,39.7,True
7.61,0.34,12.7,16.5,0.01,20.4,51.6,True
7.4,0.66,13.0,9.0,0.005,39.5,32.0,True
5.66,3.73,50.8,69.0,1.419,214.3,254.8,False
7.78,0.34,13.5,21.6,0.018,32.7,41.3,True
9.46,3.5,61.9,61.6,1.489,146.7,365.2,False
7.14,0.41,19.1,22.8,0.024,11.5,27.2,True
6.79,0.31,10.3,18.9,0.032,22.4,59.4,True
7.28,0.79,15.0,13.5,0.034,17.4,22.8,True
6.62,0.35,18.9,10.9,0.006,27.4,44.6,True
6.72,0.53,10.3,23.8,0.025,16.1,33.7,True
6.5,0.9,15.2,16.4,0.019,13.5,52.5,True
6.82,0.33,11.8,16.1,0.012,43.8,23.3,True
5.0,2.37,64.1,87.0,0.559,224.7,339.7,False
7.25,0.66,20.8,5.7,0.009,34.2,30.5,True
7.18,0.58,13.0,23.9,0.021,32.3,16.4,True
7.8,0.68,10.7,19.5,0.009,23.7,50.4,True
9.33,2.23,59.0,56.8,1.928,212.3,199.6,False
7.75,0.33,20.6,19.7,0.026,31.8,34.0,True
5.32,3.72,61.6,70.6,1.338,275.3,388.5,False
7.47,0.47,14.6,9.0,0.007,22.2,42.0,True
7.61,0.73,16.2,19.4,0.038,28.8,21.7,True
7.28,0.27,19.5,24.1,0.037,25.0,47.1,True
7.19,0.73,18.8,5.6,0.012,41.1,39.9,True
7.72,0.9,10.6,21.6,0.022,31.7,37.8,True
7.66,0.84,13.6,7.0,0.017,12.3,50.2,True
5.53,4.23,63.3,63.1,0.949,290.7,311.3,False
7.15,0.28,14.2,15.6,0.029,38.3,43.9,True
6.83,0.79,10.4,9.2,0.032,12.3,41.7,True
6.76,0.3,18.4,7.1,0.006,42.6,54.3,True
7.73,0.52,15.6,22.6,0.015,30.4,30.0,True
7.67,0.61,18.1,16.1,0.009,39.3,23.3,True
6.67,0.33,15.6,18.8,0.012,12.9,15.8,True
7.05,0.28,21.0,11.9,0.039,39.7,28.3,True
5.19,4.47,46.4,56.6,1.64,280.0,201.4,False
7.47,0.75,19.6,16.5,0.034,14.8,56.6,True
7.62,0.25,21.9,6.6,0.034,43.7,40.8,True
6.83,0.31,13.4,18.3,0.022,16.4,16.4,True
7.54,0.23,21.1,11.4,0.026,17.8,31.1,True
5.62,2.83,36.6,81.5,1.057,275.3,321.0,False
9.01,2.52,54.6,65.5,1.79,165.3,378.5,False
4.75,3.63,48.8,54.8,1.466,264.1,301.5,False
5.13,3.56,64.6,80.3,0.983,203.1,388.4,False
5.32,3.19,43.4,81.9,0.829,282.7,333.4,False
6.91,0.35,14.3,9.9,0.022,42.8,27.7,True
4.78,3.08,37.2,64.5,0.866,278.3,317.8,False
5.5,3.94,54.9,74.2,1.95,195.5,333.4,False
7.21,0.51,15.2,10.7,0.034,24.9,27.6,True
7.04,0.83,14.7,21.5,0.008,14.0,23.0,True
6.87,0.33,19.8,8.9,0.035,31.8,44.7,True
6.7,0.57,16.1,12.5,0.031,29.8,46.5,True
7.55,0.23,13.7,24.6,0.011,16.4,41.6,True
7.79,0.32,12.6,18.4,0.014,25.1,56.9,True
7.12,0.38,13.7,17.3,0.031,38.0,20.5,True
6.95,0.7,21.5,20.1,0.04,23.6,28.7,True
9.01,3.95,60.5,64.3,0.99,207.8,287.9,False
7.76,0.89,17.2,14.3,0.016,10.0,26.8,True
7.48,0.76,12.3,8.6,0.026,42.0,51.2,True
7.09,0.75,12.7,24.2,0.011,20.3,55.0,True
7.26,0.55,14.5,8.0,0.015,21.6,21.9,True
4.64,3.36,43.2,64.8,1.703,147.6,244.1,False
8.51,3.87,37.9,84.4,0.786,233.8,255.8,False
6.99,0.54,15.0,12.7,0.028,19.5,57.4,True
6.88,0.58,11.5,24.1,0.018,26.0,33.1,True
5.13,4.2,56.2,79.5,1.926,253.6,223.7,False
6.51,0.58,16.4,17.3,0.005,27.6,27.9,True
6.56,0.53,19.9,6.0,0.006,38.8,52.1,True
6.57,0.41,18.0,8.7,0.008,21.2,42.6,True
6.8,0.63,18.9,7.1,0.035,42.0,31.8,True
5.78,2.39,39.3,52.1,1.567,273.0,224.5,False
6.68,0.48,13.5,24.9,0.018,31.5,40.9,True
6.7,0.51,21.3,17.9,0.017,26.0,53.1,True
7.4,0.3,19.6,7.2,0.015,40.7,56.5,True
6.69,0.53,12.1,22.6,0.029,11.1,15.1,True
6.68,0.64,11.8,8.1,0.013,23.5,15.4,True
7.75,0.5,18.0,15.4,0.038,27.1,26.5,True
9.44,2.44,51.9,61.6,0.627,257.0,253.9,False
6.51,0.38,10.5,19.2,0.017,26.8,49.3,True
7.77,0.5,19.0,5.8,0.038,29.7,29.1,True
6.73,0.56,18.8,24.0,0.018,44.2,59.5,True
7.3,0.24,15.7,5.3,0.031,10.8,46.7,True
9.74,3.8,62.6,84.9,0.993,159.2,211.9,False
6.7,0.77,20.3,22.8,0.038,22.4,45.0,True
6.89,0.63,21.5,23.6,0.03,16.2,50.3,True
6.96,0.72,10.0,22.3,0.023,13.0,34.9,True
6.82,0.65,14.0,14.2,0.028,30.3,47.1,True
6.94,0.34,15.5,22.4,0.039,20.9,58.8,True
8.4,3.01,35.4,65.9,0.678,176.0,334.5,False
6.99,0.31,19.9,15.2,0.039,18.8,22.9,True
5.32,2.49,64.2,51.6,1.124,218.9,339.3,False
7.73,0.26,14.2,8.5,0.04,29.1,51.5,True
7.46,0.48,10.9,25.0,0.029,32.1,37.2,True
7.07,0.29,16.7,7.0,0.009,25.8,38.4,True
7.4,0.66,17.7,15.1,0.014,25.2,38.0,True
4.53,2.47,62.6,77.1,1.524,295.6,202.1,False
7.54,0.43,13.3,21.8,0.033,37.8,48.4,True
7.76,0.66,20.5,5.5,0.019,30.1,33.2,True
8.88,3.24,47.1,61.8,0.797,227.9,352.0,False
7.1,0.38,12.7,22.1,0.03,12.3,49.1,True
8.9,2.91,39.4,65.3,0.523,157.4,294.2,False
5.16,2.3,64.7,72.3,1.259,257.5,217.7,False
9.44,3.52,49.9,68.1,0.851,170.5,253.8,False
7.67,0.27,13.8,12.4,0.032,20.3,32.6,True
7.18,0.34,16.8,11.6,0.026,33.7,15.1,True
7.04,0.87,13.3,11.7,0.013,28.9,38.8,True
7.13,0.44,20.2,11.0,0.014,17.7,44.7,True
4.98,2.74,43.8,81.0,1.323,193.0,315.4,False
7.2,0.61,16.7,13.2,0.04,41.0,42.5,True
6.54,0.59,13.1,15.6,0.036,32.1,41.7,True
5.02,2.57,56.5,60.8,1.793,256.2,377.4,False
6.79,0.89,21.2,24.1,0.011,32.8,44.5,True
6.79,0.41,10.2,18.6,0.02,32.7,33.2,True
5.53,2.37,51.3,83.4,1.932,256.4,255.0,False
4.98,4.35,46.7,50.4,1.835,266.6,277.4,False
4.59,3.61,36.6,56.0,1.577,281.0,294.5,False
7.76,0.48,11.6,10.6,0.037,17.3,58.5,True
6.82,0.8,19.9,22.2,0.034,14.7,33.7,True
8.65,3.73,44.3,55.4,1.732,237.0,304.8,False
6.95,0.36,21.7,11.6,0.036,21.8,38.1,True
6.88,0.78,20.0,11.1,0.037,21.2,55.3,True
7.32,0.52,15.2,21.0,0.038,29.2,28.0,True
7.23,0.47,14.8,9.1,0.016,19.6,26.0,True
7.47,0.79,19.9,14.1,0.009,22.8,27.6,True
7.63,0.56,19.4,7.1,0.036,16.6,40.6,True
9.54,3.76,50.7,83.9,1.817,235.9,312.7,False
7.53,0.53,11.9,22.1,0.011,44.3,31.3,True
8.74,3.47,40.7,84.6,0.575,201.9,349.9,False
7.22,0.32,17.1,16.2,0.029,17.9,46.6,True
7.64,0.27,17.1,18.4,0.033,27.0,16.6,True
7.31,0.56,16.6,21.8,0.017,22.1,22.5,True
4.65,4.01,52.3,79.6,1.222,185.6,338.0,False
7.69,0.88,18.3,20.7,0.023,12.0,20.6,True
7.26,0.56,18.9,5.0,0.025,31.5,24.4,True
7.64,0.22,14.0,24.5,0.024,20.8,56.9,True
7.16,0.62,19.4,23.7,0.038,41.5,48.4,True
4.71,3.15,45.5,63.6,0.739,210.0,360.2,False
7.04,0.74,12.2,8.4,0.013,18.1,56.6,True
8.41,2.41,46.7,81.8,1.723,266.2,346.3,False
6.72,0.63,10.0,12.5,0.032,13.5,42.2,True
7.48,0.25,11.7,14.2,0.018,19.6,40.4,True
6.97,0.57,20.4,12.9,0.01,27.7,16.7,True
6.66,0.39,21.8,9.0,0.009,18.1,47.1,True
7.65,0.82,17.2,7.6,0.029,16.2,30.8,True
7.39,0.26,18.3,23.8,0.033,31.8,19.4,True
7.55,0.64,14.9,14.3,0.02,14.4,50.4,True
5.63,2.52,55.0,77.0,1.972,255.6,283.9,False
6.6,0.62,12.9,12.7,0.006,28.2,46.5,True
6.77,0.72,16.9,5.1,0.024,24.7,45.1,True
6.76,0.77,11.3,17.4,0.037,16.3,20.6,True
6.58,0.65,16.0,5.8,0.023,19.1,21.6,True
6.98,0.27,20.9,21.6,0.025,30.0,37.7,True
7.64,0.24,19.7,17.6,0.039,39.0,35.3,True
6.87,0.58,14.3,23.4,0.02,20.0,17.6,True
7.55,0.36,19.0,22.5,0.034,35.8,16.7,True
7.46,0.44,12.5,13.7,0.02,40.6,57.0,True
7.73,0.86,14.9,22.1,0.017,29.6,48.5,True
6.98,0.26,15.5,15.6,0.028,24.2,28.3,True
9.51,2.42,47.7,62.7,1.014,171.4,223.8,False
6.93,0.89,19.4,14.7,0.018,21.2,46.1,True
6.83,0.66,13.0,15.7,0.014,33.9,18.4,True
7.61,0.47,11.8,15.4,0.02,32.5,22.8,True
7.41,0.74,20.4,5.1,0.011,38.5,16.4,True
7.19,0.2,19.7,7.3,0.036,35.7,40.0,True
6.67,0.25,16.8,20.3,0.023,39.5,35.8,True
7.71,0.65,12.1,14.5,0.011,14.2,29.8,True
7.63,0.74,14.1,13.3,0.035,34.7,40.2,True
7.71,0.39,19.2,24.3,0.01,14.4,27.4,True
7.43,0.88,10.3,6.5,0.026,26.9,43.3,True
6.93,0.42,16.6,6.8,0.037,37.4,20.5,True
7.79,0.51,13.2,11.7,0.03,20.5,45.1,True
6.94,0.38,11.9,17.9,0.007,31.0,52.2,True
7.78,0.6,16.6,15.2,0.007,32.8,58.4,True
6.56,0.62,19.8,16.4,0.023,25.4,47.2,True
6.93,0.44,14.9,11.4,0.029,44.8,46.8,True
9.0,3.92,48.8,78.5,1.943,294.0,283.9,False
6.73,0.81,19.9,13.2,0.009,41.1,41.2,True
7.6,0.62,15.5,17.6,0.025,25.6,33.0,True
6.99,0.8,11.4,16.9,0.033,14.4,20.4,True
6.8,0.71,13.8,10.9,0.02,14.1,48.9,True
7.15,0.3,11.1,20.1,0.011,18.7,32.2,True
6.69,0.47,12.5,10.5,0.03,29.7,19.5,True
5.65,3.85,36.9,64.6,1.588,275.4,277.5,False
6.52,0.61,17.4,14.5,0.027,39.8,26.5,True
7.53,0.41,14.7,10.7,0.039,25.6,33.4,True
5.32,2.64,61.0,63.5,1.531,187.6,326.1,False
6.52,0.3,12.2,24.8,0.014,26.0,16.3,True
7.42,0.57,15.2,5.4,0.014,33.4,35.2,True
7.19,0.74,12.7,6.6,0.035,44.5,46.2,True
9.03,2.52,63.4,57.4,1.367,199.4,331.4,False
7.57,0.2,21.1,17.0,0.022,35.9,57.4,True
7.56,0.89,19.5,7.6,0.027,32.8,21.6,True
9.7,3.87,52.0,78.5,0.636,296.5,208.3,False
7.62,0.82,16.7,13.6,0.027,14.2,33.9,True
7.7,0.53,16.5,8.1,0.04,16.4,42.1,True
7.17,0.54,13.4,17.4,0.027,13.8,19.0,True
7.44,0.77,11.3,16.9,0.032,38.1,16.3,True
5.56,4.49,53.5,55.8,0.695,217.3,195.2,False
8.58,2.93,45.9,85.2,1.072,230.6,393.9,False
8.46,2.55,58.6,63.1,1.155,185.3,244.0,False
6.77,0.3,12.2,5.7,0.03,37.1,15.5,True
7.8,0.64,13.9,12.9,0.037,25.1,25.8,True
7.79,0.26,18.2,17.1,0.019,40.1,30.7,True
5.57,3.87,39.4,76.0,0.592,287.2,313.1,False
7.04,0.75,16.7,22.9,0.03,33.4,30.2,True
7.06,0.35,14.3,9.8,0.005,10.7,38.2,True
6.53,0.71,21.7,19.6,0.008,32.0,52.3,True
9.43,2.96,57.2,88.1,0.539,240.3,205.3,False
5.32,2.34,57.6,53.2,1.195,234.3,234.4,False
5.64,2.82,43.3,61.6,1.702,185.9,322.5,False
5.54,2.79,52.1,83.8,1.215,157.9,284.1,False
8.79,2.51,48.5,55.7,1.993,149.3,283.2,False
7.26,0.65,22.0,21.6,0.016,26.5,31.1,True
6.85,0.79,13.2,7.7,0.017,37.9,33.0,True
9.4,3.67,51.1,57.0,0.856,223.3,370.7,False
9.15,2.66,41.6,55.5,1.639,227.1,213.0,False
7.18,0.22,14.2,14.7,0.01,24.3,22.9,True
5.31,3.6,43.5,89.0,0.901,224.8,366.7,False
8.94,2.43,52.9,81.6,1.799,151.5,354.4,False
7.7,0.63,13.7,7.9,0.028,13.4,21.5,True
8.94,3.79,35.4,78.9,0.701,186.9,263.2,False
7.15,0.52,20.4,15.9,0.038,26.9,45.0,True
5.3,3.82,59.4,71.4,1.316,277.6,220.7,False
4.96,3.0,61.0,77.0,0.566,229.6,362.7,False
5.17,2.42,64.1,86.0,0.775,141.3,202.5,False
9.39,2.79,43.7,61.3,1.069,158.6,369.2,False
7.46,0.89,15.7,18.4,0.014,29.4,19.5,True
8.97,2.63,63.3,83.6,1.728,217.3,309.2,False
6.96,0.4,10.3,23.6,0.024,39.7,15.7,True
8.63,3.7,53.8,68.5,1.465,285.8,293.3,False
9.43,3.0,52.9,87.8,0.943,249.7,211.1,False
7.3,0.63,12.1,23.8,0.023,23.7,21.1,True
7.25,0.2,18.8,21.9,0.007,24.0,53.2,True
7.19,0.7,13.0,10.8,0.017,36.2,59.2,True
7.06,0.29,13.0,19.5,0.032,16.4,29.7,True
6.61,0.38,12.0,19.5,0.036,31.7,44.9,True
7.48,0.24,17.0,5.6,0.021,14.8,44.3,True
7.08,0.69,17.7,11.8,0.02,27.8,34.3,True
7.59,0.47,11.8,15.1,0.014,21.3,29.2,True
6.53,0.72,16.7,7.2,0.034,27.4,34.1,True
7.47,0.41,17.2,6.7,0.006,14.8,32.9,True
6.74,0.28,13.8,16.6,0.029,41.9,41.8,True
6.96,0.27,19.3,7.8,0.007,44.1,46.4,True
9.58,2.28,52.4,65.6,0.909,218.4,368.1,False
7.28,0.89,14.1,17.3,0.026,30.8,57.9,True
7.42,0.29,11.9,5.5,0.031,17.1,55.5,True
8.77,3.52,35.3,60.4,1.604,245.5,378.5,False
7.52,0.66,11.7,24.7,0.037,35.3,17.4,True
9.72,3.36,39.5,57.5,1.176,150.7,355.2,False
6.86,0.63,13.1,8.2,0.009,20.0,36.3,True
6.85,0.33,16.0,12.5,0.028,22.2,17.6,True
7.26,0.36,19.3,21.3,0.011,44.2,27.0,True
7.71,0.54,21.6,20.5,0.038,40.4,41.2,True
7.6,0.52,14.9,8.7,0.014,19.6,33.3,True
7.51,0.76,19.4,14.3,0.036,25.6,42.0,True
7.24,0.21,18.3,16.3,0.033,42.9,37.0,True
6.92,0.57,20.4,9.1,0.023,40.7,20.1,True
6.99,0.27,14.7,24.4,0.021,31.5,33.4,True
7.32,0.6,10.3,22.7,0.024,30.5,21.8,True
9.79,2.85,62.4,82.5,1.859,169.3,238.6,False
7.0,0.21,11.4,21.6,0.029,10.7,58.8,True
5.17,3.25,48.7,60.7,0.754,202.6,287.3,False
7.61,0.46,11.2,10.2,0.009,41.0,25.8,True
7.44,0.37,11.4,7.0,0.016,21.2,40.8,True
5.28,3.36,48.9,76.4,1.775,241.1,271.3,False
6.57,0.89,21.1,16.9,0.014,18.1,34.8,True
6.78,0.61,10.4,9.2,0.037,30.8,35.5,True
7.4,0.22,14.0,12.1,0.014,23.1,31.4,True
4.6,2.81,49.3,86.1,1.169,167.4,357.5,False
7.7,0.8,12.7,7.5,0.027,33.7,47.0,True
6.91,0.83,21.3,17.9,0.006,25.5,57.0,True
6.85,0.63,11.0,8.7,0.012,33.5,30.6,True
6.76,0.6,14.0,11.1,0.019,39.1,52.8,True
4.75,3.16,63.1,77.9,1.504,192.4,307.5,False
7.08,0.34,10.7,19.0,0.009,38.8,31.4,True
7.79,0.21,15.3,13.2,0.02,41.0,33.3,True
4.62,2.38,61.6,78.9,1.196,166.0,227.2,False
6.56,0.43,17.9,14.6,0.038,19.0,19.7,True
7.34,0.27,17.8,22.5,0.019,14.7,42.5,True
6.79,0.41,12.2,16.5,0.03,24.3,22.5,True
5.71,3.13,48.6,84.8,0.758,145.7,250.1,False
7.78,0.62,15.8,23.5,0.018,36.2,36.3,True
6.77,0.87,21.5,12.7,0.031,31.9,37.2,True
9.31,4.34,38.5,55.1,1.407,179.0,190.6,False
6.68,0.38,14.7,6.2,0.033,19.6,25.5,True
6.81,0.85,18.7,18.4,0.038,12.4,41.4,True
7.48,0.66,16.2,21.3,0.016,19.6,32.3,True
5.73,2.29,56.5,62.4,1.712,160.0,242.3,False
6.5,0.73,17.8,8.7,0.027,42.4,15.2,True
7.01,0.52,13.5,10.0,0.027,39.0,37.8,True
7.29,0.7,20.8,19.4,0.009,37.9,59.2,True
7.56,0.66,14.7,24.7,0.005,20.8,58.6,True
7.63,0.82,16.6,16.1,0.037,40.6,47.2,True
7.17,0.47,10.8,6.2,0.033,35.9,36.0,True
7.08,0.42,13.8,13.6,0.033,22.5,26.6,True
7.13,0.79,19.0,23.7,0.036,33.4,23.6,True
7.34,0.62,20.8,23.4,0.027,32.5,20.8,True
7.17,0.77,10.0,19.2,0.023,40.1,38.0,True
7.34,0.68,19.9,12.6,0.03,31.5,59.3,True
6.54,0.57,13.9,11.0,0.029,11.5,39.4,True
7.37,0.37,14.3,15.2,0.013,36.6,47.8,True
5.11,2.62,62.1,72.1,1.7,264.2,190.2,False
7.77,0.59,21.5,18.9,0.02,18.2,17.7,True
6.51,0.61,14.1,15.1,0.033,29.3,44.9,True
7.78,0.84,10.2,17.4,0.039,29.8,42.7,True
8.52,4.04,37.5,50.7,1.5,153.5,226.0,False
7.79,0.78,17.0,24.5,0.023,43.2,48.8,True
7.14,0.69,21.6,10.7,0.035,12.5,54.2,True
7.51,0.39,21.9,23.4,0.035,10.3,58.4,True
7.67,0.67,14.9,20.5,0.016,39.9,29.8,True
6.61,0.35,16.0,24.4,0.039,26.7,51.2,True
6.57,0.24,14.9,11.6,0.034,14.6,16.2,True
7.6,0.24,15.4,8.5,0.037,30.2,36.1,True
7.02,0.36,14.1,18.8,0.02,36.9,36.6,True
8.63,3.45,55.5,78.6,1.639,264.4,247.7,False
6.87,0.4,13.2,9.2,0.007,36.5,29.2,True
7.44,0.75,19.7,13.8,0.011,37.9,44.0,True
4.88,3.61,35.7,52.8,1.215,268.0,341.8,False
7.7,0.5,10.9,15.9,0.03,21.8,42.4,True
6.58,0.77,20.3,22.0,0.033,19.4,40.9,True
7.19,0.67,10.6,16.5,0.026,39.8,22.0,True
6.61,0.6,11.3,8.6,0.019,38.0,52.1,True
7.23,0.49,17.3,20.7,0.02,32.3,35.0,True
6.77,0.73,22.0,19.1,0.033,41.9,34.9,True
7.5,0.21,19.2,21.0,0.011,39.8,47.0,True
6.55,0.48,16.7,13.3,0.022,29.6,24.5,True
7.11,0.7,18.0,24.8,0.013,15.4,47.7,True
4.67,4.18,41.7,71.4,1.793,149.7,372.7,False
7.38,0.68,10.0,8.3,0.017,17.3,39.8,True
6.57,0.58,15.6,15.2,0.009,26.6,48.5,True
7.11,0.43,10.9,17.9,0.018,44.6,19.9,True
7.68,0.8,13.8,12.1,0.031,21.1,53.3,True
6.97,0.57,12.0,20.5,0.014,31.5,55.5,True
5.43,3.46,39.5,52.6,1.444,243.1,395.6,False
5.19,3.5,63.9,62.8,0.552,287.2,230.2,False
6.8,0.35,19.8,18.3,0.018,44.0,55.0,True
7.65,0.43,19.7,7.5,0.03,12.8,26.6,True
7.64,0.3,20.1,20.9,0.031,26.2,40.4,True
6.99,0.57,12.5,22.3,0.005,30.0,30.6,True
7.23,0.24,16.9,12.0,0.025,25.6,23.2,True
6.99,0.7,11.5,21.3,0.03,12.9,59.0,True
9.26,3.05,61.0,63.7,1.383,191.8,290.5,False
9.06,2.64,53.2,78.7,1.626,192.1,210.8,False
7.56,0.45,11.7,10.4,0.025,18.8,44.8,True
8.71,2.76,41.9,58.5,1.557,170.9,370.6,False
6.82,0.53,11.9,9.7,0.029,39.9,17.8,True
8.96,3.24,53.0,89.7,1.099,247.0,390.1,False
7.26,0.2,17.1,14.8,0.027,39.9,52.3,True
7.14,0.39,20.1,23.8,0.012,38.3,49.0,True
6.83,0.25,21.7,10.9,0.03,23.8,59.6,True
7.78,0.75,11.4,12.4,0.009,37.5,36.9,True
4.59,2.26,41.4,58.2,0.979,287.8,333.4,False
7.52,0.33,11.0,22.7,0.03,11.3,56.9,True
6.91,0.7,21.6,24.0,0.022,15.9,58.5,True
7.62,0.53,10.5,15.1,0.029,33.0,38.0,True
7.07,0.7,11.3,21.0,0.02,44.1,38.9,True
5.23,3.48,45.4,67.1,1.478,207.2,294.1,False
6.74,0.35,10.2,13.8,0.039,37.2,28.5,True
7.64,0.76,17.2,19.5,0.028,30.2,56.4,True
6.72,0.53,10.8,8.0,0.024,34.4,31.2,True
6.74,0.71,16.0,19.1,0.016,23.2,55.3,True
7.35,0.3,20.6,20.7,0.034,22.3,17.6,True
7.44,0.8,13.6,5.5,0.036,30.2,15.3,True
7.72,0.69,15.8,21.1,0.006,32.3,16.4,True
7.31,0.52,14.1,6.3,0.038,40.2,28.7,True
6.59,0.73,13.2,11.9,0.028,22.1,47.8,True
6.56,0.52,16.3,6.6,0.022,37.3,39.7,True
6.67,0.85,10.9,19.1,0.036,14.2,38.4,True
7.45,0.36,19.0,9.8,0.026,15.6,48.1,True
8.78,2.52,61.5,53.3,1.339,275.5,341.2,False
7.79,0.21,21.2,19.5,0.017,35.5,24.1,True
6.96,0.41,17.7,19.5,0.022,17.5,29.5,True
5.26,2.79,42.7,51.6,0.569,154.4,204.5,False
6.76,0.49,21.6,17.6,0.009,14.8,41.8,True
6.88,0.34,14.8,9.3,0.019,10.6,48.1,True
7.61,0.66,16.2,20.6,0.029,43.2,35.9,True
6.89,0.78,11.7,8.8,0.035,44.6,43.6,True
7.39,0.6,11.1,20.5,0.029,15.4,16.9,True
7.17,0.75,21.0,13.5,0.005,24.2,40.8,True
7.69,0.68,16.6,9.1,0.032,20.6,29.4,True
7.15,0.74,14.6,13.9,0.02,44.1,29.9,True
7.49,0.72,19.5,24.1,0.034,39.0,32.1,True
9.07,2.57,52.2,77.2,1.522,218.5,340.5,False
6.54,0.7,19.0,10.3,0.006,38.0,31.2,True
7.57,0.35,10.2,5.4,0.014,35.1,30.3,True
7.15,0.26,13.8,17.1,0.025,36.2,54.4,True
4.73,2.66,59.6,75.4,1.366,226.2,347.3,False
7.63,0.66,16.3,13.1,0.007,41.0,20.8,True
7.1,0.7,12.9,9.5,0.031,16.3,20.4,True
6.53,0.73,19.7,21.0,0.038,13.0,56.9,True
5.3,2.68,37.1,65.0,1.717,295.3,283.4,False
7.16,0.76,18.5,13.5,0.009,43.4,30.2,True
6.92,0.39,14.1,12.8,0.009,17.3,56.0,True
7.52,0.85,19.9,19.4,0.007,18.7,19.7,True
6.55,0.38,13.4,15.2,0.005,44.6,17.8,True
6.95,0.58,10.6,10.5,0.033,11.7,51.8,True
6.51,0.26,12.8,8.3,0.012,30.3,36.3,True
6.62,0.89,18.0,19.8,0.029,26.3,51.7,True
5.67,2.88,45.2,61.4,1.287,228.8,362.1,False
7.59,0.26,18.6,24.9,0.02,31.8,24.7,True
9.43,2.6,59.1,84.6,1.933,236.8,211.0,False
7.76,0.35,21.0,24.5,0.02,18.7,35.8,True
6.89,0.27,19.6,17.7,0.026,30.9,47.4,True
8.92,3.51,55.8,51.8,1.276,146.3,210.6,False
7.32,0.53,16.8,7.4,0.024,18.9,42.5,True
4.66,3.1,64.6,68.3,1.976,177.6,225.1,False
7.67,0.55,12.3,11.2,0.008,39.1,38.4,True
7.44,0.73,21.1,18.9,0.04,20.0,22.0,True
7.31,0.43,20.4,24.9,0.011,27.2,37.6,True
5.25,2.98,63.2,75.0,0.691,296.0,309.5,False
7.39,0.53,21.7,19.2,0.018,41.9,25.4,True
7.68,0.44,20.7,9.1,0.011,16.3,50.1,True
7.51,0.22,21.0,12.4,0.01,40.1,30.9,True
6.87,0.57,16.7,6.8,0.025,34.3,54.8,True
7.25,0.64,13.4,18.3,0.011,20.4,56.9,True
7.42,0.28,12.6,14.5,0.017,37.4,19.6,True
6.83,0.44,14.0,11.8,0.036,26.5,37.9,True
6.58,0.74,15.8,6.2,0.008,18.0,15.2,True
7.33,0.23,16.5,23.9,0.02,41.9,58.7,True
7.27,0.79,16.8,15.7,0.01,26.2,43.2,True
7.0,0.37,19.1,5.3,0.038,36.9,29.4,True
7.48,0.34,21.1,13.2,0.03,38.9,57.9,True
7.75,0.27,21.6,19.2,0.038,11.8,35.1,True
7.28,0.59,17.4,7.4,0.028,17.5,29.4,True
6.93,0.51,17.5,18.1,0.021,15.1,48.9,True
7.07,0.64,14.6,13.9,0.031,28.3,52.6,True
5.26,2.98,36.0,83.8,1.896,217.7,207.2,False
6.93,0.7,15.9,20.7,0.023,20.1,59.5,True
7.16,0.89,21.9,17.2,0.018,23.0,45.2,True
6.92,0.42,12.6,9.2,0.015,44.0,24.2,True
7.19,0.22,14.2,7.7,0.013,41.8,58.6,True
