Azot,Fosfor,Potasyum,pH,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi,Yagis_Miktar_mm,Sicaklik_Ort,SulamaYapildiMi,Gubreleme_TamMi,Gecmis_Verim_kg
71.9,56.2,361.9,6.56,2.33,0.18,TinliKumlu,Karpuz,494.8,22.8,1,1,4952
36.3,32.9,238.0,6.93,1.27,0.72,Killi,Burçak,350.7,11.5,1,1,683
81.6,41.0,268.6,6.86,2.77,0.51,Tinli,Kanola,551.9,20.0,1,1,5289
77.3,35.9,198.0,6.49,2.17,0.39,KilliTinli,OglanOtu,515.0,17.3,0,1,3267
55.5,48.7,236.8,7.47,2.17,0.72,Tinli,SekerPancari,585.5,17.5,1,1,5141
89.6,47.3,348.0,6.05,4.41,0.13,MilliTinli,TazeSogan,452.0,23.3,1,1,2123
86.2,37.2,302.9,6.83,2.59,0.43,Killi,Kanola,639.4,14.0,1,0,4535
60.6,20.8,276.4,5.92,3.55,0.26,KumluTinli,Korunga,698.9,17.8,1,1,3358
51.2,28.2,203.0,6.94,2.32,0.36,Tinli,Zeytin,802.2,18.1,1,1,3409
26.0,21.9,221.3,7.2,1.42,0.42,Tinli,Yulaf,314.7,12.3,0,1,305
70.9,22.7,294.4,6.91,3.85,0.3,Tinli,Visne,770.6,13.4,1,1,3721
62.9,28.5,235.2,7.35,2.81,0.38,KumluTinli,Kivi,884.1,19.9,1,0,3024
25.2,26.5,179.5,7.57,2.17,0.93,Tinli,Bezelye,549.4,10.4,0,1,323
54.2,47.8,287.2,6.86,3.41,0.57,Tinli,Pamuk,483.5,14.5,1,0,340
66.0,63.9,253.2,6.2,3.38,0.14,KumluTinli,Maydanoz,320.0,22.7,1,1,2150
66.5,57.6,267.9,6.86,4.37,0.21,MilliTinli,Kavun,486.3,21.6,1,0,5091
52.3,43.3,298.5,7.04,2.77,0.16,KilliTinli,SiloMisiri,763.6,17.6,1,1,3460
44.6,44.1,226.0,7.48,3.49,0.16,KumluTinli,Yonca,768.6,14.3,1,1,3567
35.9,16.2,160.9,7.09,1.76,1.11,Killi,Fiğ,446.3,11.7,0,1,303
45.4,34.3,183.0,6.38,2.47,0.19,KilliTinli,Ceviz,691.7,12.3,0,1,3133
104.8,58.7,317.7,6.6,4.08,0.14,MilliTinli,Domates,450.6,23.7,1,1,5541
65.8,37.7,182.0,6.06,3.34,0.15,Tinli,Cay,814.1,16.1,1,0,3336
44.8,23.9,282.8,6.65,3.33,0.17,KumluTinli,Rezene,891.6,18.9,0,0,3275
52.8,17.4,223.0,6.54,2.13,0.8,Tinli,Cavdar,380.7,11.8,0,1,321
85.9,25.8,304.9,7.72,3.19,0.52,AgirKilli,Pamuk,574.3,21.7,1,1,417
48.1,20.3,193.9,7.22,1.77,0.35,Tinli,Cavdar,323.7,10.4,1,0,590
76.2,26.4,199.9,6.47,2.28,0.15,KilliTinli,Mandalina,818.6,17.6,1,1,3326
48.6,24.4,171.1,6.54,1.22,0.32,Killi,Bugday,392.5,11.8,1,0,563
58.8,26.4,250.9,6.71,2.88,0.27,KilliTinli,Cay,773.9,16.7,1,1,3501
78.1,53.4,259.6,6.49,3.59,0.43,MilliTinli,Maydanoz,304.3,21.5,1,1,2009
27.8,26.7,237.9,6.84,1.94,1.1,Tinli,Nohut,513.7,10.6,0,1,286
76.5,37.1,248.1,6.8,3.42,0.39,KilliTinli,Kimyon,724.9,13.0,0,1,3634
52.4,23.2,208.3,7.25,1.96,1.19,Killi,Misir,375.9,12.6,0,1,299
85.0,41.3,267.2,6.15,2.69,0.24,MilliTinli,Ispanak,401.2,24.2,1,1,2112
92.7,59.6,377.6,7.0,4.2,0.29,MilliTinli,Biber,394.9,22.1,1,1,2045
77.9,28.4,204.9,7.13,3.51,0.13,Tinli,AntepFistigi,529.0,18.9,1,1,3489
69.5,23.4,229.1,7.08,3.08,0.31,KilliTinli,Badem,597.6,12.0,1,1,3309
62.7,44.9,226.4,7.05,2.81,0.26,AgirKilli,SekerPancari,694.1,21.6,1,1,5173
65.4,38.1,216.7,7.13,3.5,0.18,Tinli,Papatya,832.0,18.6,1,1,3653
67.8,28.4,230.0,5.82,2.7,0.35,KumluTinli,Uzum,783.4,17.9,1,1,3101
68.3,57.7,366.1,6.28,4.32,0.41,KumluTinli,Roka,415.2,21.1,1,1,2039
78.8,38.1,296.0,7.49,3.21,0.23,AgirKilli,Kanola,632.1,14.5,1,1,5758
84.7,35.2,363.0,6.84,2.98,0.29,TinliKumlu,Ispanak,319.8,22.1,1,1,1910
45.0,44.4,223.4,7.29,3.45,0.39,KumluTinli,OglanOtu,848.4,17.6,1,1,3304
48.3,44.3,181.5,7.42,3.04,0.2,Tinli,Elma,722.3,18.4,1,1,3396
61.7,49.1,269.6,7.18,3.71,0.33,TinliKumlu,Domates,303.1,19.6,1,1,5493
49.3,43.5,220.9,7.35,3.51,0.21,Tinli,Cay,732.1,18.9,1,1,3554
77.4,37.7,262.4,7.04,2.05,0.15,KumluTinli,YemSalgamı,713.8,17.7,1,1,3327
84.3,36.1,211.4,6.87,2.97,0.62,Tinli,Soya,540.8,16.3,1,1,5531
42.1,36.3,183.1,5.98,3.45,0.2,KilliTinli,Korunga,715.6,16.9,0,1,3502
73.0,50.2,256.2,6.4,3.87,0.22,TinliKumlu,Havuc,467.2,20.7,1,0,2043
72.5,27.4,258.1,7.59,2.09,0.2,Tinli,Kanola,405.7,15.1,0,1,4884
42.3,31.3,160.4,6.55,1.62,0.57,Tinli,Fiğ,437.7,13.7,0,1,315
45.2,24.1,208.1,7.09,2.39,0.31,KilliTinli,Cilek,670.0,18.2,1,1,3165
71.3,42.9,321.6,6.17,3.02,0.3,KumluTinli,Marul,276.5,24.9,1,1,1905
106.9,45.1,332.3,6.79,3.23,0.21,TinliKumlu,TazeSogan,277.1,20.2,1,1,2096
70.6,29.2,214.5,5.56,2.92,0.19,Tinli,Ayva,850.1,18.2,1,1,3624
42.9,41.5,265.8,7.24,3.29,0.39,KumluTinli,Cay,887.5,17.5,1,1,3620
41.6,25.5,273.2,6.21,2.68,0.16,KumluTinli,Nane,893.9,13.2,1,0,3043
47.3,33.5,240.4,5.77,2.82,0.23,Tinli,Korunga,794.9,19.3,1,0,3172
76.4,45.2,290.0,6.98,3.68,0.17,TinliKumlu,Roka,421.0,24.5,1,1,2194
69.4,32.4,267.0,7.71,3.17,0.22,Tinli,Aspir,422.1,18.7,1,1,5302
60.0,20.3,229.0,7.31,2.34,0.38,KilliTinli,SiloMisiri,658.2,15.6,0,1,3044
28.5,17.3,161.0,6.63,1.37,0.62,MilliTinli,Nohut,385.7,13.0,1,1,621
29.7,28.0,169.4,7.24,2.09,0.96,MilliTinli,Celtik,317.1,12.2,1,1,636
47.7,30.8,237.8,6.11,3.32,0.23,KumluTinli,Kestane,593.6,18.3,0,1,3360
100.4,55.4,258.9,6.54,4.06,0.2,KumluTinli,Hiyar,430.9,18.9,1,1,5585
73.7,43.8,278.0,6.5,2.09,0.16,KumluTinli,Kivi,863.3,14.7,0,1,3095
53.7,34.4,213.4,6.28,3.64,0.34,KilliTinli,Kivi,666.0,19.0,1,1,3374
57.4,31.0,278.5,7.0,3.02,0.24,Killi,Keten,675.3,20.8,1,1,5499
44.5,15.6,208.0,6.72,2.02,0.73,MilliTinli,Bugday,421.9,12.2,1,1,672
74.3,26.8,261.5,5.63,3.75,0.26,KumluTinli,SiloMisiri,540.7,18.0,1,1,3632
84.5,46.7,314.1,7.85,2.41,0.4,Tinli,Keten,427.2,15.2,1,1,5451
58.3,42.0,218.2,5.98,2.07,0.37,Tinli,Mandalina,687.1,12.7,1,1,3222
47.4,21.7,180.0,7.14,3.16,0.33,KilliTinli,Kekik,861.2,16.7,1,1,3323
58.9,22.7,183.9,6.76,2.05,0.23,Tinli,Portakal,625.3,19.3,0,1,3343
46.2,23.0,223.7,7.6,1.26,0.59,Killi,Arpa,518.5,10.9,1,1,694
61.2,57.0,329.3,6.96,2.89,0.35,MilliTinli,Sarımsak,271.1,22.2,1,1,2037
62.8,61.0,257.6,6.08,2.64,0.43,TinliKumlu,Ispanak,427.4,21.3,1,1,1903
96.1,42.0,304.8,7.14,4.09,0.18,KumluTinli,Havuc,261.3,25.9,1,1,2174
65.9,48.6,303.3,6.4,3.05,0.23,KumluTinli,Kavun,409.7,19.7,1,1,5264
73.1,39.5,278.3,5.68,3.37,0.11,KumluTinli,Cay,539.8,15.0,1,1,3400
46.2,22.4,282.4,7.25,3.1,0.3,Tinli,Kiraz,641.6,14.9,1,1,3595
87.7,36.6,278.3,6.81,3.91,0.2,KumluTinli,Tere,375.4,21.2,1,1,2037
69.5,36.4,305.7,6.86,2.67,0.58,Killi,Susam,462.7,16.3,0,1,4950
57.2,33.0,200.7,5.92,2.95,0.36,Tinli,MeyanKoku,724.8,17.9,1,1,3588
45.1,26.8,265.3,7.16,3.41,0.17,KumluTinli,Muz,768.4,16.7,1,1,3726
89.9,43.7,280.2,7.07,2.85,0.61,Tinli,Pamuk,468.0,16.5,1,1,407
62.1,34.3,215.9,7.37,3.76,0.37,KilliTinli,Korunga,539.7,12.7,1,1,3440
93.9,64.7,342.3,6.86,2.95,0.24,KumluTinli,Marul,334.6,22.1,1,0,1771
77.5,34.7,285.6,7.34,2.77,0.37,KumluTinli,Safran,869.1,12.9,1,1,3557
54.2,28.5,222.9,7.22,1.47,0.68,Killi,Nohut,304.1,13.9,0,0,247
78.8,22.3,294.4,5.85,2.03,0.25,KilliTinli,Korunga,526.5,17.8,1,1,3324
41.0,35.0,255.6,6.53,3.29,0.29,Tinli,Kestane,879.6,14.0,1,0,3286
71.7,37.7,256.2,6.08,3.59,0.36,KilliTinli,Greyfurt,638.3,14.3,1,1,3344
61.9,35.3,206.4,6.37,3.46,0.11,KumluTinli,Limon,545.3,15.8,0,1,3406
72.6,43.4,252.5,7.85,2.89,0.57,Killi,Aycicegi,616.6,22.0,1,1,5463
96.0,36.1,319.1,6.19,2.25,0.16,MilliTinli,Karpuz,411.5,23.3,1,1,5527
60.1,45.9,307.3,7.06,2.72,0.13,TinliKumlu,Ispanak,255.1,22.3,1,1,2074
62.5,41.5,247.5,5.64,3.59,0.37,KumluTinli,Ayva,738.6,12.8,1,1,3665
63.3,42.8,343.7,6.74,2.26,0.25,TinliKumlu,Karpuz,318.1,21.4,1,1,5429
68.9,42.3,341.2,7.2,3.84,0.39,TinliKumlu,Prasa,396.7,25.2,1,1,2183
95.8,49.9,275.3,6.78,3.84,0.13,MilliTinli,Lahana,420.8,22.4,1,1,5791
72.8,38.4,207.8,7.38,2.88,0.22,Tinli,Biberiye,713.7,18.9,0,1,3176
71.5,33.6,268.0,6.31,3.85,0.29,KumluTinli,SiloMisiri,555.8,12.0,0,1,3397
69.2,40.5,215.6,7.65,2.65,0.27,Tinli,SekerPancari,407.4,21.4,1,0,4887
58.0,21.0,226.8,5.83,3.5,0.3,Tinli,Incir,853.8,16.3,0,1,3341
44.0,26.3,224.8,5.6,2.98,0.2,KumluTinli,Ayva,896.0,18.2,1,1,3371
40.6,24.5,216.2,6.87,1.46,1.05,MilliTinli,Yulaf,498.7,11.0,1,1,634
61.1,49.6,369.2,6.85,3.59,0.35,MilliTinli,Marul,458.0,19.7,1,1,2037
74.8,40.3,199.6,5.74,3.12,0.26,Tinli,Yonca,519.4,14.8,1,1,3385
85.0,51.7,358.3,7.14,2.54,0.16,KumluTinli,Sarımsak,435.4,23.0,1,1,2116
61.1,27.6,250.2,7.48,3.08,0.13,KumluTinli,Seftali,767.8,16.7,1,1,3561
65.8,22.6,186.7,6.18,3.61,0.34,KumluTinli,Kayisi,737.2,13.9,1,0,3145
81.7,35.9,258.1,7.19,2.93,0.64,Killi,Aycicegi,659.2,16.9,1,1,5157
64.5,28.2,265.3,6.49,2.61,0.35,Tinli,MeyanKoku,639.7,14.6,1,1,3437
49.6,30.7,246.7,6.57,3.11,0.27,Tinli,Findik,621.4,19.9,1,1,3492
62.1,42.1,243.1,6.15,3.91,0.35,TinliKumlu,Turp,412.8,19.1,1,1,2119
52.4,34.4,186.7,7.19,2.47,0.14,KumluTinli,Kimyon,542.1,15.3,1,1,3423
28.4,18.6,235.5,6.79,1.35,0.59,Tinli,Celtik,327.7,12.1,0,1,313
56.6,22.9,227.8,5.84,3.72,0.21,KumluTinli,Kivi,815.7,16.1,0,1,3590
59.5,43.5,281.4,7.11,2.06,0.37,Tinli,Kayisi,707.7,16.1,0,1,3222
40.7,35.0,181.5,6.95,1.71,0.98,Killi,Yulaf,383.5,10.5,0,1,288
65.7,23.4,216.0,5.66,3.54,0.4,KumluTinli,Visne,787.7,14.3,1,1,3307
105.5,40.4,301.4,6.12,2.72,0.37,KumluTinli,Ispanak,304.2,19.8,1,1,2031
45.4,30.5,186.4,7.05,1.55,0.3,Tinli,Nohut,540.6,11.8,0,1,327
58.9,38.4,292.1,5.83,2.57,0.23,KumluTinli,AntepFistigi,723.1,17.9,1,1,3153
71.2,38.2,221.3,6.54,2.99,0.24,KumluTinli,Salep,624.6,18.7,0,1,3621
71.9,43.7,253.5,7.22,3.54,0.33,KilliTinli,Kusburnu,758.9,14.2,0,1,3361
62.7,31.8,211.6,5.73,2.96,0.36,KumluTinli,Armut,773.4,14.0,1,1,3350
76.4,40.9,180.4,6.42,2.92,0.37,KumluTinli,Portakal,815.9,14.6,1,1,3429
57.7,43.4,277.2,7.42,3.47,0.2,Tinli,Lavanta,857.6,19.0,0,1,3733
69.7,24.9,226.7,6.62,3.85,0.35,KumluTinli,Biberiye,807.3,18.2,1,1,3687
42.9,44.2,289.4,5.6,3.92,0.39,Tinli,Limon,654.2,12.2,0,1,3760
43.0,30.0,230.5,6.56,2.1,1.11,MilliTinli,Fiğ,495.3,13.2,0,1,322
69.2,39.8,278.7,6.5,2.16,0.3,KumluTinli,Anason,513.9,17.6,1,1,3345
69.1,22.2,270.2,6.77,2.65,0.18,Tinli,Ayva,540.3,13.9,1,1,3585
78.2,42.4,277.7,6.25,2.53,0.19,Tinli,Ayva,739.9,16.6,1,1,3345
72.0,64.1,277.4,6.93,3.95,0.31,MilliTinli,Turp,292.6,22.7,1,1,2247
64.6,33.5,249.4,7.33,3.66,0.1,KumluTinli,Greyfurt,600.2,17.3,1,1,3382
47.4,29.8,225.5,7.34,3.01,0.39,KilliTinli,Biberiye,751.9,14.7,0,1,3274
54.1,30.8,222.0,7.38,2.13,0.12,KilliTinli,OglanOtu,613.9,15.9,1,0,3098
42.1,21.4,212.7,6.2,3.13,0.37,KilliTinli,Findik,782.1,19.6,1,1,3466
67.4,45.9,295.9,6.29,4.15,0.27,TinliKumlu,Ispanak,365.7,18.5,1,1,2266
62.1,22.2,185.8,6.07,3.08,0.23,KumluTinli,Korunga,892.3,14.2,0,1,3510
78.6,26.6,194.5,5.92,3.59,0.25,KilliTinli,Erik,591.5,16.0,1,1,3484
51.8,17.4,187.1,6.76,1.44,0.45,Tinli,Burçak,385.7,10.6,0,1,295
63.5,40.6,244.1,5.55,2.51,0.11,Tinli,Kestane,636.1,17.8,1,1,3349
70.1,39.9,244.4,7.29,3.39,0.29,KumluTinli,Cay,781.2,15.4,1,1,3542
70.8,26.0,187.5,7.3,3.43,0.17,Tinli,Salep,770.5,16.0,1,1,3355
82.9,41.4,288.3,7.14,3.32,0.46,AgirKilli,Keten,680.7,22.0,1,1,5615
63.7,36.8,272.9,5.82,2.61,0.21,KilliTinli,Armut,719.1,15.9,0,1,3487
67.8,34.3,286.8,6.14,2.96,0.3,KilliTinli,OglanOtu,885.3,12.2,1,1,3427
85.8,44.2,294.7,6.69,2.86,0.11,TinliKumlu,Ispanak,267.9,25.4,1,1,1952
72.1,38.6,225.5,7.3,2.35,0.63,Killi,Keten,562.2,15.9,1,1,4977
106.4,43.3,293.5,6.89,3.8,0.4,KumluTinli,Patlican,437.1,21.6,1,1,2267
97.2,63.9,364.7,6.6,2.41,0.46,TinliKumlu,Karpuz,414.5,23.3,1,1,4946
68.4,52.7,268.6,6.71,2.58,0.45,KumluTinli,Ispanak,300.8,19.7,1,0,1832
40.4,16.0,223.9,7.06,2.01,0.76,Killi,Cavdar,531.6,13.2,0,1,306
28.0,24.1,218.6,7.21,1.31,0.74,Tinli,Misir,521.9,10.4,1,1,625
41.3,39.5,204.9,6.79,3.83,0.35,KilliTinli,Visne,761.1,14.1,1,1,3347
109.6,64.2,364.9,6.97,3.63,0.22,KumluTinli,Turp,390.8,21.6,1,0,1784
47.7,31.8,229.3,6.89,1.36,0.58,Tinli,Fiğ,460.5,12.3,0,1,315
78.4,44.6,281.4,6.74,3.83,0.14,KumluTinli,Greyfurt,574.3,18.0,0,1,3410
85.2,39.0,272.4,6.28,3.84,0.29,TinliKumlu,Roka,482.9,19.7,1,1,2163
62.9,43.3,205.0,5.54,2.56,0.29,KilliTinli,Erik,504.1,16.6,1,1,3511
75.0,30.0,231.5,7.07,2.89,0.37,Tinli,Susam,434.1,20.7,1,1,5317
64.6,45.0,267.5,5.75,2.97,0.24,Tinli,Cilek,779.0,16.5,0,1,3274
46.2,36.4,253.6,7.27,2.62,0.28,KilliTinli,Mandalina,506.1,14.5,1,1,3535
57.5,38.5,213.9,5.68,3.97,0.16,Tinli,Nar,840.3,16.2,1,1,3452
70.2,42.2,223.1,6.17,3.66,0.23,KilliTinli,Mandalina,670.4,18.1,1,1,3520
93.2,64.3,338.8,6.66,3.98,0.22,MilliTinli,TazeSogan,385.9,19.5,1,1,2144
47.7,27.8,250.3,7.09,2.26,0.4,KumluTinli,MeyanKoku,693.2,12.7,1,1,3146
50.3,25.4,191.9,7.73,1.68,0.53,Killi,Fiğ,495.3,10.3,0,1,315
59.5,28.7,289.7,7.25,3.09,0.26,Tinli,YerFistigi,672.8,19.5,1,1,5443
43.0,27.7,202.3,5.53,2.99,0.35,Tinli,Kestane,742.9,18.8,1,0,3170
79.2,45.7,310.5,7.02,3.03,0.24,Killi,Aspir,567.6,15.1,1,1,5326
57.2,21.7,181.5,7.39,3.41,0.12,Tinli,Findik,658.1,18.1,1,0,3102
62.8,43.8,289.2,5.94,3.2,0.23,KilliTinli,Badem,714.1,13.2,1,1,3439
89.7,32.8,229.7,7.21,2.51,0.65,Killi,SekerPancari,645.4,20.2,1,1,5043
52.7,42.6,250.3,5.66,3.44,0.17,Tinli,Kayisi,706.9,16.7,0,0,3281
110.0,61.9,247.8,7.02,2.8,0.32,KumluTinli,Sarımsak,351.6,20.2,1,1,1946
44.8,28.9,196.3,7.04,3.68,0.33,KumluTinli,Ayva,538.8,18.4,1,1,3453
36.9,26.2,162.7,6.76,1.3,0.87,MilliTinli,Bugday,413.3,13.7,1,0,529
63.2,41.9,211.9,5.67,2.64,0.17,KumluTinli,Kekik,795.2,17.2,1,1,3576
40.7,29.0,203.8,5.82,3.62,0.14,Tinli,Zeytin,692.3,16.3,1,0,3355
69.1,41.1,255.6,7.13,2.73,0.45,KumluTinli,Domates,483.8,25.1,1,1,5465
84.5,62.9,378.7,7.13,4.21,0.17,MilliTinli,Domates,481.2,24.0,1,1,5975
46.5,33.3,192.6,7.2,1.56,1.14,Tinli,Burçak,418.3,11.3,0,1,275
47.3,26.9,187.7,6.72,3.32,0.12,Tinli,Kiraz,795.7,17.2,1,0,3321
83.4,29.9,217.3,7.43,2.27,0.65,Killi,YerFistigi,481.2,14.9,0,1,4946
74.2,25.4,217.5,5.67,2.67,0.36,KilliTinli,Safran,891.7,19.3,1,1,3248
65.6,61.0,354.6,6.84,3.13,0.29,KumluTinli,Biber,323.5,22.2,1,1,2164
51.9,24.1,207.4,5.76,2.26,0.29,Tinli,MeyanKoku,598.1,18.3,1,1,3339
44.9,21.2,202.5,7.01,1.39,0.45,MilliTinli,Misir,446.3,11.0,1,1,678
59.1,40.4,254.9,6.36,2.13,0.23,Tinli,Korunga,610.4,18.7,1,1,3435
86.3,52.8,248.9,6.0,3.85,0.22,KumluTinli,Biber,383.5,21.8,1,1,2211
100.9,46.6,347.5,6.43,4.3,0.24,MilliTinli,Domates,384.4,23.5,1,1,6117
80.1,36.0,353.1,7.16,4.21,0.32,KumluTinli,Kavun,369.3,23.1,1,1,5755
45.6,28.0,204.4,7.52,1.61,0.97,Tinli,Mercimek,359.0,12.7,0,0,273
70.2,34.6,227.9,6.94,2.59,0.45,Killi,YerFistigi,544.8,18.9,1,1,5228
62.1,24.4,294.1,6.87,3.25,0.13,Tinli,Portakal,586.8,19.7,0,1,3562
47.1,24.3,257.5,5.98,2.15,0.29,KumluTinli,AntepFistigi,765.2,12.2,0,1,3062
50.5,30.9,233.0,5.64,2.32,0.11,Tinli,Safran,599.0,13.2,0,1,3258
93.2,45.9,336.5,6.38,2.76,0.37,KumluTinli,Ispanak,476.2,21.6,1,1,2097
74.2,33.8,250.0,6.45,2.32,0.4,Tinli,Mandalina,715.4,14.4,1,1,3031
93.7,40.9,249.6,6.72,2.35,0.44,TinliKumlu,Karpuz,340.7,23.0,1,1,5069
76.3,35.4,207.0,6.01,2.28,0.12,KumluTinli,Mandalina,578.7,12.2,0,1,3134
57.5,25.6,292.4,5.88,3.47,0.31,Tinli,Yonca,542.3,13.5,1,0,3032
77.0,23.2,204.8,5.64,3.96,0.34,KumluTinli,Nane,603.9,18.6,0,1,3387
65.6,32.4,319.5,7.01,3.35,0.52,Tinli,Soya,483.6,15.1,1,1,5737
94.5,59.4,304.7,6.61,2.98,0.18,TinliKumlu,Marul,373.0,18.3,1,1,2196
70.6,26.5,209.6,7.42,3.45,0.76,Tinli,Soya,581.3,21.7,1,1,5586
59.5,37.6,289.2,6.37,2.26,0.24,KilliTinli,Incir,611.9,12.1,0,1,3221
57.9,29.1,225.4,5.67,3.0,0.26,KumluTinli,Kivi,832.0,15.7,1,1,3221
65.3,29.7,219.4,6.29,3.18,0.17,KumluTinli,Korunga,804.6,18.7,1,0,3135
84.9,44.5,355.3,6.26,4.41,0.43,TinliKumlu,Havuc,443.7,18.9,1,1,2214
55.7,29.9,259.2,7.1,2.48,0.6,Killi,Soya,466.2,18.7,1,1,5430
62.9,23.9,229.8,6.66,3.04,0.12,Tinli,Portakal,592.7,19.4,0,1,3645
64.1,24.9,256.4,6.14,2.47,0.26,Tinli,Papatya,751.8,16.5,0,1,3339
47.1,20.3,191.8,7.67,1.26,0.31,Killi,Bezelye,466.0,10.6,1,1,624
47.1,22.2,202.3,5.7,2.01,0.11,KumluTinli,Salep,504.7,16.4,1,1,3333
74.5,51.4,250.2,7.18,3.58,0.28,TinliKumlu,Hiyar,381.0,22.5,1,1,5927
103.0,37.2,340.0,7.14,3.88,0.22,KumluTinli,Turp,448.3,21.8,1,1,2110
69.5,33.1,247.4,6.62,3.15,0.18,KilliTinli,Kekik,800.6,19.7,0,1,3617
61.1,62.6,340.4,6.85,3.28,0.47,KumluTinli,Lahana,438.5,22.2,1,1,5433
65.7,35.1,260.2,6.09,2.25,0.25,KumluTinli,Incir,799.7,16.4,1,0,3083
51.1,37.1,263.5,7.94,3.01,0.32,Tinli,Kenevir,495.8,20.9,1,0,4949
74.0,38.2,300.2,6.88,3.35,0.4,TinliKumlu,Kavun,482.9,19.7,1,1,5598
70.9,42.6,247.3,7.15,3.39,0.24,Killi,Kanola,699.1,16.1,1,1,5862
51.7,48.2,293.9,7.28,3.29,0.21,Tinli,YerFistigi,466.6,14.9,1,1,5930
83.3,42.4,342.4,6.97,3.09,0.17,TinliKumlu,Hiyar,430.2,24.5,1,1,5385
63.5,35.8,288.7,5.51,3.07,0.12,KumluTinli,Cay,639.8,16.1,0,1,3491
100.0,41.4,262.6,6.07,2.74,0.19,KumluTinli,Tere,305.0,21.6,1,1,2085
50.9,40.1,288.2,6.7,2.02,0.1,Tinli,Cay,559.0,13.8,1,1,3172
54.3,44.7,258.3,5.95,2.72,0.16,KilliTinli,Lavanta,519.8,20.0,1,0,2920
100.8,62.2,378.9,6.75,4.19,0.1,MilliTinli,Sarımsak,290.0,19.7,1,1,2219
51.4,32.8,247.8,7.26,2.09,0.21,Tinli,Tütün,411.6,17.4,1,0,4603
58.4,32.2,234.8,6.68,2.53,0.39,KilliTinli,AdaCayi,759.3,18.6,1,1,3495
70.1,21.1,212.0,7.24,3.22,0.23,Tinli,Zeytin,524.3,12.3,1,1,3305
64.4,22.1,219.7,6.76,2.41,0.4,KilliTinli,Nar,758.1,18.9,1,1,3237
68.3,34.3,291.3,7.99,3.34,0.6,Killi,Kanola,628.7,18.5,1,1,5120
62.9,45.8,306.2,6.93,3.45,0.56,AgirKilli,Susam,625.5,17.4,1,1,5492
45.8,18.0,189.3,6.92,1.42,0.62,Tinli,Misir,455.2,12.1,0,1,310
55.4,20.7,271.4,5.5,3.22,0.3,Tinli,Erik,627.7,15.6,1,1,3421
40.4,43.9,290.1,6.18,2.23,0.21,Tinli,Salep,867.1,14.0,1,1,3192
69.7,26.2,223.5,7.39,2.41,0.31,KilliTinli,Kestane,530.0,19.4,0,1,3447
57.7,34.0,185.7,6.45,2.09,0.24,KumluTinli,Safran,620.8,17.0,0,1,3156
77.0,39.4,244.8,5.81,2.71,0.4,Tinli,Armut,873.8,15.2,0,1,3314
52.1,40.3,287.2,6.95,3.91,0.29,Tinli,Lavanta,655.0,16.5,1,1,3508
56.9,31.8,277.0,7.18,2.91,0.13,Tinli,Erik,896.2,17.6,1,0,3233
38.9,19.8,208.8,7.45,2.29,0.34,MilliTinli,Arpa,512.1,11.5,0,1,337
98.0,54.2,307.3,6.44,3.65,0.27,KumluTinli,Domates,364.6,22.4,1,0,4893
90.7,56.4,327.7,7.08,2.84,0.15,TinliKumlu,Tere,408.6,22.6,1,0,1715
70.4,55.8,247.2,6.36,3.02,0.38,KumluTinli,Ispanak,429.4,18.3,1,1,1906
71.0,32.8,206.3,7.73,2.16,0.45,Tinli,Pamuk,483.6,20.4,1,1,397
73.1,43.2,255.5,6.73,3.35,0.12,MilliTinli,Tere,260.8,25.7,1,1,2186
76.2,38.4,261.4,5.81,2.24,0.38,KumluTinli,Mandalina,630.0,17.9,0,1,3451
45.1,28.9,271.6,6.85,3.52,0.14,KumluTinli,Armut,847.6,18.3,1,1,3601
27.4,34.2,229.8,7.31,1.96,0.63,Tinli,Nohut,479.4,11.9,1,0,622
68.5,53.2,247.0,6.05,2.72,0.35,KumluTinli,Domates,386.4,19.5,1,1,5122
57.4,30.0,234.5,6.48,3.41,0.35,KilliTinli,Nane,769.6,12.7,1,1,3430
53.7,31.9,243.8,7.23,2.06,0.35,Tinli,Elma,835.7,13.2,1,1,3046
82.7,48.5,254.0,7.54,3.12,0.78,Tinli,YerFistigi,457.3,18.2,1,1,5486
63.2,26.0,283.2,6.15,3.39,0.4,KumluTinli,Incir,670.4,16.3,0,1,3656
84.9,28.1,277.1,6.92,3.33,0.26,Killi,Susam,544.6,17.9,1,1,5550
45.0,33.2,193.2,6.98,2.61,0.17,KilliTinli,Badem,815.1,13.5,1,1,3298
89.4,57.6,352.2,6.08,3.64,0.37,KumluTinli,Havuc,482.4,23.0,1,1,2136
59.9,49.1,256.7,7.56,2.15,0.8,AgirKilli,Kanola,695.8,17.2,1,1,4694
58.4,40.5,269.1,7.24,2.99,0.68,Killi,Aspir,537.8,16.5,1,1,4999
62.1,33.8,285.2,6.22,2.08,0.23,KilliTinli,Seftali,599.3,19.8,1,1,3378
47.3,39.5,242.4,6.45,3.44,0.35,KilliTinli,Greyfurt,696.9,18.9,1,1,3323
54.4,43.5,294.9,7.65,2.88,0.41,Tinli,Aspir,429.3,15.5,1,1,5539
45.1,34.5,283.2,6.84,3.45,0.13,Tinli,Kiraz,695.7,13.0,1,1,3412
82.5,35.5,301.6,6.89,3.18,0.53,AgirKilli,Soya,471.9,18.6,1,1,5059
79.8,30.9,230.7,6.29,3.19,0.35,KumluTinli,Findik,697.1,17.6,1,1,3422
