pH,Azot,Fosfor,Potasyum,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi
7.7,66.4,46.7,257.2,3.35,0.62,301,2005
7.67,50.0,27.6,280.5,2.61,0.21,306,2005
7.73,23.4,19.0,161.0,1.91,0.36,402,7001
7.77,20.0,15.4,175.9,1.89,0.31,101,7012
6.77,74.9,27.9,243.1,3.78,0.33,203,5001
7.37,46.3,32.1,215.0,1.78,1.01,204,1002
6.12,77.0,38.8,301.5,4.06,0.13,201,3006
7.88,88.1,47.5,209.1,2.43,0.34,306,2003
7.38,19.5,19.2,162.5,1.79,0.58,101,7004
7.05,46.4,28.2,271.7,2.32,0.23,203,4006
7.74,80.5,32.6,228.4,3.47,0.64,306,2009
7.6,22.2,10.9,156.0,1.49,0.5,402,7009
6.41,87.3,50.4,266.2,4.0,0.16,201,3002
6.17,77.9,55.9,362.2,3.15,0.32,204,3008
7.21,21.6,29.5,161.1,0.91,0.24,101,7002
6.49,69.0,43.4,287.4,4.13,0.32,102,3001
7.08,30.0,22.9,187.2,1.63,0.89,202,1005
6.48,71.0,55.0,317.6,2.84,0.43,204,3009
6.97,68.0,61.7,377.1,2.67,0.3,201,3016
6.41,65.3,33.6,253.6,2.51,0.3,202,6001
6.94,108.2,36.4,353.3,2.22,0.26,201,3005
5.76,65.8,38.4,293.7,2.51,0.21,201,4012
7.41,33.4,15.0,169.9,1.45,0.41,101,7013
7.25,32.9,15.4,224.6,1.3,0.37,301,1010
6.8,75.8,60.6,243.3,4.18,0.35,204,3010
7.94,29.8,10.5,180.9,1.8,0.82,402,7007
7.25,79.7,34.4,312.4,2.57,0.66,202,2007
6.53,57.2,24.9,297.2,2.03,0.38,202,4001
7.01,45.3,44.0,214.3,3.41,0.19,203,4008
6.26,67.6,60.6,302.2,4.06,0.48,201,3003
5.54,72.6,22.4,189.6,2.66,0.31,203,4002
5.94,76.6,44.4,262.7,2.89,0.26,203,4011
6.72,104.2,39.2,365.9,2.76,0.4,204,3002
6.77,47.8,34.3,243.6,2.74,0.2,201,6003
7.12,73.5,42.3,243.5,2.0,0.44,102,3005
7.78,36.1,12.8,184.6,0.97,0.67,101,7004
5.61,54.3,28.6,210.7,3.06,0.17,202,5003
7.55,34.3,18.0,169.7,0.86,0.68,402,7011
6.05,50.5,31.0,218.8,2.29,0.12,201,6003
6.98,37.6,16.3,169.7,1.49,1.05,204,1001
6.79,34.3,12.3,131.7,1.66,0.97,202,8003
6.57,69.5,30.6,202.2,2.93,0.19,201,4006
7.49,45.6,15.7,202.7,1.93,0.67,301,1008
6.42,96.1,43.4,348.4,2.64,0.27,201,3012
5.56,75.2,37.1,283.9,3.54,0.19,202,4003
6.64,45.1,33.1,237.7,1.86,0.59,204,1005
7.22,18.9,21.0,197.2,0.96,0.9,101,7010
7.02,17.0,10.1,121.3,1.81,0.27,402,7003
6.7,72.8,33.8,220.1,3.94,0.11,201,4009
6.09,81.7,45.8,260.7,4.14,0.41,204,3016
6.63,34.3,17.4,170.4,1.04,0.33,202,8003
7.48,63.4,27.2,247.6,3.97,0.32,201,4002
7.25,50.6,29.6,315.5,2.12,0.29,202,2009
4.61,52.2,26.6,278.2,3.52,0.12,201,4016
7.22,66.3,37.0,256.7,3.08,0.4,203,4006
7.05,52.1,21.8,206.6,1.54,0.46,301,1004
6.84,64.3,42.5,243.2,3.64,0.16,201,4004
6.17,48.2,33.1,273.8,3.2,0.39,201,4015
6.23,54.7,31.7,210.3,3.72,0.22,202,6003
6.08,89.0,51.8,378.9,3.74,0.26,201,3015
8.17,22.0,25.3,134.4,1.43,0.84,101,7013
7.47,17.2,11.9,169.2,1.46,0.43,402,7014
6.28,103.9,38.3,250.2,4.33,0.16,201,3018
7.16,81.2,59.4,250.3,2.57,0.28,102,3018
6.45,64.0,46.0,293.3,1.88,0.27,102,3005
6.97,30.4,26.3,197.1,1.96,0.94,202,8001
8.08,27.8,19.4,176.3,1.61,0.28,402,6002
6.39,106.2,60.5,304.4,3.14,0.48,102,3010
7.16,64.6,42.9,225.6,3.47,0.1,203,4012
7.75,30.8,13.6,120.5,0.9,0.75,101,7012
6.64,93.2,60.0,353.1,2.61,0.48,201,3004
7.64,63.0,34.5,256.2,2.55,0.33,301,2001
6.76,81.9,46.2,360.3,3.75,0.35,102,3018
6.74,20.9,10.3,177.2,1.97,0.43,202,8004
7.1,104.9,51.4,335.8,3.32,0.36,102,3004
7.21,51.1,31.9,176.2,1.79,0.66,301,1001
6.34,49.4,32.9,185.0,2.51,0.15,201,4003
6.98,20.9,18.7,122.3,1.55,0.9,202,8002
6.99,84.3,42.9,282.0,3.03,0.34,201,3001
6.59,93.5,40.8,317.9,3.96,0.2,102,3015
6.96,65.7,31.9,260.9,3.69,0.29,201,4008
7.55,15.3,25.2,157.4,1.93,0.42,101,7006
6.66,62.7,50.8,287.0,3.8,0.36,204,3018
6.48,50.7,30.6,232.8,2.54,0.19,202,4013
7.8,18.5,29.6,162.4,0.92,0.53,101,7014
7.42,51.9,36.9,319.0,3.15,0.37,306,2011
7.18,40.0,16.9,184.4,1.21,0.7,101,7007
7.13,37.9,28.7,182.0,2.02,0.9,301,1012
7.84,24.1,15.9,188.3,1.39,0.67,101,7010
6.08,99.5,54.3,342.5,3.08,0.4,204,3007
6.76,87.6,51.8,363.9,2.92,0.28,102,3002
6.24,108.5,44.3,325.9,3.95,0.36,204,3011
7.91,36.3,20.7,199.3,1.8,0.33,101,7014
7.1,72.0,35.1,301.3,2.89,0.12,201,3016
7.86,30.8,21.4,143.4,1.6,0.78,101,7006
6.8,77.1,29.5,228.0,2.83,0.24,202,4005
7.5,58.1,25.2,237.9,2.64,0.69,306,2007
5.75,61.3,34.5,259.3,3.1,0.35,203,4003
6.26,97.1,46.6,285.4,2.6,0.32,204,3001
6.96,69.1,37.3,259.6,2.75,0.12,202,6004
6.53,63.9,23.0,248.8,3.25,0.36,201,6001
6.98,47.1,21.8,162.0,1.21,0.57,301,1012
5.31,58.7,28.1,220.4,3.2,0.24,202,4016
6.93,61.9,62.6,268.2,2.29,0.13,201,3005
6.2,101.1,63.2,289.3,1.53,0.22,102,3005
7.97,87.4,41.6,277.8,2.18,0.37,306,2010
6.4,68.3,60.5,377.9,2.53,0.14,204,3011
7.12,52.8,15.6,168.3,1.62,1.1,202,1010
6.69,30.5,29.1,209.0,2.24,0.59,202,1011
6.33,104.9,53.4,310.4,3.17,0.15,201,3011
6.09,106.6,42.8,341.5,3.0,0.29,204,3004
7.19,16.3,10.6,128.3,1.26,0.97,402,7001
7.78,19.9,11.1,193.5,1.38,0.61,402,7002
6.92,96.4,56.3,363.2,4.03,0.2,201,3008
6.08,92.9,49.7,303.2,4.31,0.4,204,3001
6.9,41.5,35.3,242.5,2.97,0.21,203,4003
7.93,89.8,26.3,243.0,3.0,0.31,306,2003
7.36,38.0,21.8,167.8,1.78,0.26,402,7007
7.76,48.4,21.4,177.8,2.09,0.48,204,1011
5.54,57.9,22.9,238.2,2.21,0.22,201,4009
7.54,70.3,40.9,257.0,3.16,0.23,202,2008
7.74,26.2,17.9,187.5,1.55,0.72,101,7004
6.89,52.5,20.7,264.9,2.41,0.32,201,4009
8.27,17.6,16.8,135.4,1.56,0.73,101,7005
7.88,51.4,43.5,214.4,3.19,0.71,202,2009
7.31,38.8,29.6,206.3,1.39,1.14,204,1003
5.65,64.1,34.7,217.3,2.07,0.32,201,4004
7.12,88.2,46.8,272.8,3.14,0.72,301,2001
6.51,99.1,62.8,266.1,2.57,0.35,102,3002
7.16,77.3,53.6,293.2,2.52,0.14,204,3017
6.46,76.9,53.8,365.8,3.2,0.4,201,3001
7.19,56.7,28.7,278.5,2.75,0.22,201,4001
6.27,62.5,43.5,238.1,2.3,0.23,203,4001
6.65,97.5,43.0,325.0,4.43,0.36,201,3013
7.19,19.6,10.1,133.8,0.87,0.54,202,8002
6.76,69.3,42.6,317.5,3.62,0.42,201,3004
7.36,67.4,37.1,310.3,2.92,0.43,306,2008
7.26,75.2,26.0,210.0,2.01,0.33,306,2011
7.05,74.7,27.7,245.0,3.9,0.39,202,4003
7.07,97.4,50.9,378.6,3.03,0.19,102,3004
7.8,19.7,15.3,199.8,1.11,0.57,101,7011
6.36,73.5,53.9,316.7,3.52,0.42,201,3004
7.02,71.3,61.0,260.0,3.12,0.47,102,3008
6.4,60.3,41.5,294.9,3.02,0.25,202,5002
7.83,21.4,16.6,139.3,0.87,0.33,101,7006
6.89,79.5,34.8,255.9,2.55,0.44,301,2006
7.55,73.3,48.2,279.8,2.53,0.41,301,2003
7.45,40.2,34.4,199.2,1.48,0.31,301,1003
7.14,42.7,17.0,190.3,2.27,1.13,202,1009
7.42,25.4,34.0,202.0,1.59,0.81,301,1006
6.99,28.5,23.0,169.4,1.25,0.44,202,8004
6.67,44.4,34.1,168.5,1.74,0.52,301,1003
7.7,38.9,24.2,142.3,1.69,0.6,402,7007
6.7,65.7,51.9,374.9,2.61,0.27,204,3011
7.58,83.5,40.1,297.2,3.47,0.25,202,2007
5.57,47.0,31.2,230.1,2.38,0.35,203,4008
7.43,68.7,27.0,234.8,2.63,0.69,202,2011
6.58,38.7,33.1,160.3,1.89,1.09,301,1012
6.74,55.7,35.0,256.3,3.53,0.35,202,4004
7.15,63.7,50.0,262.6,4.12,0.11,102,3010
6.77,49.5,33.9,229.3,3.05,0.17,202,6001
6.87,71.7,43.4,242.1,4.29,0.4,201,3003
6.9,36.9,14.4,129.7,1.09,0.37,202,8003
7.05,65.4,39.4,244.6,2.92,0.17,203,4005
7.22,37.1,26.4,230.1,2.25,1.05,301,1002
7.55,71.5,47.4,284.5,3.12,0.77,301,2001
6.6,62.4,58.9,262.1,3.17,0.13,204,3001
7.15,79.6,46.6,277.3,2.83,0.3,201,3007
6.89,44.3,30.4,186.6,1.57,0.71,202,1011
6.86,43.7,24.8,183.6,1.42,0.57,301,1001
6.72,38.8,23.3,239.2,1.85,0.36,202,1001
7.17,19.2,29.3,195.5,0.99,0.4,402,7010
7.41,58.1,29.0,219.3,2.4,0.69,202,2010
5.53,46.2,33.8,202.5,3.71,0.31,203,4004
6.22,92.0,54.3,268.6,2.64,0.17,201,3008
7.69,40.9,33.7,181.0,1.29,1.02,301,1005
6.48,58.3,35.5,261.5,2.79,0.2,203,4007
8.28,24.6,17.5,192.4,1.83,0.5,101,7013
6.69,48.6,27.5,234.8,3.26,0.17,203,5002
6.68,39.7,30.6,212.8,1.21,1.01,202,1008
7.11,45.2,24.2,233.0,1.96,0.88,202,1011
6.28,55.1,24.7,190.6,3.77,0.15,202,5002
6.56,56.0,30.3,258.3,2.75,0.34,203,5001
6.2,65.1,60.3,374.6,2.64,0.13,102,3016
7.36,88.8,38.3,261.2,2.93,0.3,202,2009
7.52,36.6,26.8,192.5,1.81,0.83,402,7007
6.51,108.2,57.8,356.1,4.01,0.34,201,3015
7.7,49.5,27.6,185.1,2.14,0.89,204,1012
6.66,65.8,61.7,254.5,3.0,0.42,102,3003
8.02,22.7,12.1,185.7,1.24,0.46,101,7003
7.91,28.2,16.8,148.9,0.98,0.45,402,7008
6.11,69.8,37.2,219.1,3.41,0.27,201,6004
7.45,64.2,40.2,249.4,3.13,0.22,202,2002
7.35,77.6,36.0,207.0,3.07,0.34,201,5002
7.56,34.8,26.2,134.0,1.4,0.51,402,7010
7.66,73.4,47.1,289.5,2.03,0.69,301,2011
7.55,51.1,28.7,166.9,2.29,0.97,204,1008
6.22,105.6,63.7,240.7,4.22,0.48,102,3004
6.55,72.3,24.5,259.7,3.8,0.37,203,4008
7.21,57.1,35.2,180.6,3.15,0.12,201,4003
7.63,26.8,29.8,148.4,1.95,0.93,402,7009
7.83,22.5,22.9,122.2,1.25,0.7,402,7009
8.28,27.5,18.2,199.4,1.02,0.35,402,7009
7.33,89.8,49.3,210.3,2.25,0.76,306,2003
6.05,43.2,30.1,285.0,2.96,0.18,201,4008
6.89,85.7,32.6,293.4,3.24,0.79,306,2002
7.06,97.5,37.6,345.3,3.03,0.41,204,3010
7.39,25.5,27.6,226.6,1.91,0.36,202,1012
7.23,79.9,29.6,226.9,3.47,0.29,201,4013
6.78,54.8,39.7,294.6,3.56,0.1,202,4001
6.59,89.1,41.4,379.1,3.99,0.2,201,3003
7.53,36.5,21.2,170.4,1.46,0.39,301,1001
7.73,83.7,29.8,244.3,2.86,0.5,301,2011
7.54,79.1,27.7,230.1,2.31,0.32,306,2004
7.13,109.0,57.6,290.2,2.79,0.43,201,3011
6.4,93.8,56.9,339.7,2.89,0.38,204,3016
4.72,54.2,20.4,219.8,2.05,0.36,203,4016
6.91,41.6,31.0,256.7,3.06,0.12,201,6005
7.39,21.8,17.4,158.9,0.89,0.74,402,7008
7.39,38.0,19.1,131.6,1.53,0.65,101,7003
6.14,84.5,51.0,305.1,4.41,0.33,201,3014
5.84,67.2,27.4,222.7,3.81,0.15,201,4010
6.06,73.1,38.3,293.0,2.2,0.2,203,4002
6.02,87.8,37.9,353.6,4.12,0.38,102,3016
7.18,35.2,25.4,213.8,1.71,0.71,202,1005
6.22,70.2,50.6,364.0,4.14,0.16,102,3009
6.62,28.0,28.5,196.6,1.99,0.58,202,8001
7.2,61.5,39.3,251.8,3.09,0.16,202,4005
7.35,79.0,26.8,279.5,2.01,0.23,306,2002
6.98,28.2,25.6,192.6,2.12,1.04,202,1006
7.69,53.3,31.8,165.2,2.28,0.93,204,1002
7.15,100.3,38.0,311.7,1.93,0.26,201,3005
8.0,30.6,14.6,167.8,1.97,0.88,402,7006
6.66,56.3,24.7,241.5,3.24,0.1,202,6003
7.26,89.5,29.5,203.6,3.07,0.77,306,2003
6.89,33.5,34.2,169.8,1.85,0.82,202,1012
6.76,78.6,37.3,185.9,2.95,0.26,201,4004
6.31,94.9,35.2,311.8,2.51,0.34,201,3014
7.2,36.8,22.4,190.7,1.88,0.34,202,1005
7.02,75.7,59.7,316.5,4.26,0.27,201,3015
6.69,33.5,33.6,208.8,2.21,0.32,202,1002
6.58,73.5,43.8,246.5,3.41,0.2,202,4015
8.09,26.7,23.4,159.2,1.57,0.23,101,7004
7.27,33.0,22.1,210.4,1.9,0.82,202,1003
7.17,60.8,42.2,304.0,1.76,0.39,204,3005
7.59,15.8,13.2,123.6,0.88,0.25,402,7003
6.24,49.4,23.4,255.4,2.02,0.34,203,4010
7.38,27.8,31.5,235.4,2.25,0.38,202,1004
7.44,37.2,21.5,136.9,1.22,0.49,202,8002
7.17,31.1,18.0,188.4,2.27,0.43,202,1010
7.78,15.3,20.0,185.1,1.48,0.58,101,7012
6.03,83.2,47.0,267.2,3.57,0.28,201,3017
7.1,94.1,64.7,337.2,1.62,0.27,102,3005
7.84,17.3,16.1,186.5,0.92,0.57,402,7012
5.83,48.4,33.0,198.5,3.95,0.22,201,4013
7.13,54.3,20.1,194.8,1.82,0.65,301,1011
7.56,25.8,31.2,223.2,2.22,0.38,301,1003
7.06,80.9,35.5,264.7,3.02,0.52,202,2004
6.99,52.2,23.4,232.3,3.56,0.3,201,6004
6.12,44.2,24.3,294.8,3.2,0.24,202,4005
6.4,68.4,51.4,273.4,2.96,0.22,201,3012
7.11,37.4,25.3,210.5,1.67,1.18,204,1009
7.86,74.4,48.6,266.9,2.75,0.32,306,2008
7.62,52.0,32.1,208.7,1.86,1.1,301,1002
6.56,61.8,35.9,181.9,2.28,0.24,203,5002
6.16,102.1,35.6,268.3,4.41,0.13,204,3002
7.44,31.0,27.5,193.8,1.29,0.98,402,7006
6.3,99.8,39.6,270.4,4.01,0.21,204,3014
7.44,67.0,32.4,268.1,2.29,0.46,306,2005
5.89,68.7,30.8,196.7,2.07,0.31,203,4002
7.01,60.9,33.5,221.5,2.18,0.13,202,5001
6.95,75.4,35.8,200.9,3.2,0.77,301,2008
4.95,59.9,42.0,190.6,3.66,0.24,203,4016
8.25,33.5,25.0,175.6,1.5,0.68,101,7005
7.05,28.5,27.9,124.1,1.84,0.69,101,7013
6.07,105.9,53.8,262.5,3.86,0.5,201,3014
6.57,16.4,23.0,192.8,1.75,0.84,202,8003
6.44,90.4,59.7,367.9,3.55,0.27,102,3006
7.1,45.0,41.8,228.8,2.33,0.34,203,4015
7.38,72.4,48.6,209.4,3.4,0.32,202,2004
7.32,38.9,29.7,187.9,1.39,0.33,301,1010
7.38,40.9,20.6,176.0,1.92,1.13,202,1006
7.35,34.0,16.6,170.2,2.12,0.41,202,1001
6.31,80.6,61.3,290.4,3.64,0.36,204,3013
7.13,76.2,47.4,324.6,3.13,0.36,204,3010
6.56,88.1,43.9,371.6,2.72,0.43,201,3011
7.29,73.7,42.9,233.3,2.91,0.34,201,4013
6.91,109.8,49.0,323.8,2.7,0.48,201,3013
7.49,50.2,17.8,220.1,1.34,0.38,301,1002
7.08,77.6,31.6,312.6,2.35,0.68,301,2010
7.44,27.2,25.6,166.2,1.77,0.54,101,7005
7.51,80.4,29.9,291.1,2.21,0.79,202,2005
7.25,26.1,26.0,169.1,2.26,0.62,204,1004
7.95,31.2,15.8,161.8,1.51,0.87,101,7011
8.29,37.1,29.0,123.9,1.78,0.91,402,7004
6.35,93.0,49.0,275.7,4.34,0.48,102,3010
7.74,78.9,26.7,211.7,2.7,0.53,306,2006
7.22,76.4,26.4,303.2,2.49,0.56,202,2003
5.88,44.6,28.3,246.2,3.98,0.23,202,4005
6.1,68.3,39.1,323.3,3.81,0.47,204,3016
6.12,43.4,28.6,250.2,2.37,0.35,202,4003
6.01,53.7,29.5,202.1,3.52,0.16,202,4014
6.72,36.3,28.3,187.5,1.98,0.56,204,1005
6.86,91.0,60.9,286.4,3.07,0.18,204,3017
6.88,77.5,45.2,340.2,3.14,0.15,204,3007
6.27,44.5,32.6,213.9,3.77,0.3,202,6003
6.44,78.5,37.3,230.9,2.04,0.27,202,4007
5.27,47.1,20.2,193.4,2.95,0.15,202,4016
7.74,52.3,45.3,227.4,2.38,0.56,306,2009
7.37,54.9,26.7,302.8,2.12,0.69,301,2006
6.06,41.6,27.8,195.1,2.14,0.35,201,4011
6.38,76.6,38.0,217.8,2.67,0.24,201,4004
6.75,63.0,49.0,242.4,3.54,0.3,201,3007
7.53,39.4,26.6,121.3,1.84,0.37,402,7006
5.74,62.2,26.5,271.3,3.63,0.25,201,4011
6.25,72.5,38.0,249.8,3.79,0.48,204,3004
6.6,106.6,51.1,349.3,2.68,0.23,102,3004
7.93,22.7,26.1,125.2,1.75,0.76,402,7013
6.54,42.1,29.3,205.2,2.09,1.0,204,1009
7.36,16.5,15.7,187.0,1.36,0.69,402,7014
7.73,54.0,21.1,163.0,1.51,0.61,301,1012
6.4,77.7,59.7,316.7,3.55,0.34,204,3006
7.45,37.8,25.1,154.1,1.02,0.23,402,7002
5.27,73.1,24.7,297.5,2.46,0.14,203,4016
7.7,39.8,20.6,162.9,0.99,0.32,402,7001
6.47,80.9,43.2,258.4,3.1,0.12,201,3016
6.54,89.1,42.9,243.0,2.15,0.34,204,3005
6.6,23.6,22.2,170.6,1.55,0.66,202,8001
6.94,75.6,43.8,239.0,3.08,0.2,201,4008
6.97,92.1,36.0,347.9,3.52,0.3,204,3001
7.38,31.4,12.6,141.1,0.85,0.89,101,7008
5.73,42.9,42.6,288.8,2.45,0.11,201,4015
7.84,79.3,36.5,310.3,3.2,0.58,301,2006
6.35,106.0,46.9,375.7,3.85,0.25,201,3006
6.11,65.7,53.4,245.0,3.34,0.31,102,3011
6.66,102.0,41.0,336.8,3.27,0.48,201,3001
6.26,106.8,53.7,305.6,3.8,0.17,201,3001
7.55,57.9,48.3,283.4,3.44,0.38,202,2003
8.06,31.3,10.4,121.5,1.78,0.79,402,7005
7.31,36.6,22.4,153.2,1.76,0.71,402,7011
7.37,25.2,18.0,182.5,1.1,0.23,202,8001
6.52,68.8,26.9,266.7,2.74,0.18,203,5002
7.01,87.1,42.2,295.8,3.37,0.39,102,3012
7.42,37.6,18.7,167.7,1.45,0.52,204,1010
5.67,79.3,31.4,227.2,2.4,0.25,201,4005
7.1,38.5,15.2,165.2,1.25,0.42,402,7014
7.49,88.3,29.8,206.1,2.92,0.41,301,2011
7.33,52.0,42.6,284.0,3.25,0.37,201,4002
6.88,57.1,28.4,194.3,2.91,0.16,203,4004
6.56,41.9,43.5,265.7,2.02,0.19,202,4015
6.99,33.2,20.8,210.9,1.86,0.8,202,1010
7.66,19.3,15.9,151.9,1.43,0.43,402,7007
7.53,28.3,22.6,152.3,1.61,0.45,402,6002
7.09,71.9,31.3,316.8,2.36,0.66,202,2003
7.5,75.3,34.5,233.7,2.31,0.46,306,2002
6.57,44.2,23.1,203.3,2.37,0.38,202,4008
6.05,66.1,42.6,265.1,2.79,0.2,204,3007
6.64,80.6,47.6,268.4,3.92,0.34,201,3012
7.29,38.7,21.4,222.6,2.14,0.55,202,1009
6.56,67.1,43.7,246.9,3.5,0.36,201,3002
7.61,82.9,33.4,311.6,2.51,0.78,301,2004
7.08,17.8,10.1,142.6,1.91,0.42,402,7006
6.58,55.0,25.3,191.3,2.15,0.16,203,4011
6.47,108.6,52.3,334.5,3.42,0.44,102,3001
6.38,95.6,64.8,264.8,3.34,0.17,201,3001
6.84,35.1,17.6,214.3,1.76,0.85,204,1005
7.12,61.1,42.1,240.7,3.03,0.32,202,4001
7.76,61.1,49.6,209.7,2.05,0.7,306,2009
6.91,40.4,38.6,262.5,3.03,0.2,201,6005
7.21,33.3,31.1,186.3,1.91,0.65,301,1012
7.33,27.7,16.6,209.1,1.66,0.47,204,1006
6.08,83.0,45.1,310.8,4.43,0.26,201,3015
7.05,30.1,19.8,216.9,1.79,0.62,301,1005
7.5,18.1,26.4,150.3,1.66,0.42,101,7012
6.2,60.5,37.8,210.2,3.09,0.26,202,6003
7.11,77.0,57.8,345.7,4.36,0.44,204,3018
7.23,46.7,25.7,177.3,1.21,0.64,202,1010
7.4,52.4,28.4,167.4,1.51,0.47,301,1001
6.47,67.9,21.0,226.1,2.91,0.13,202,6004
6.92,99.1,49.5,293.6,3.77,0.32,204,3007
7.57,59.4,46.3,284.6,2.66,0.79,306,2001
5.74,64.0,25.5,227.9,2.53,0.23,202,4013
7.34,24.6,28.6,143.1,1.54,0.93,402,7002
6.36,84.7,41.4,309.0,2.76,0.33,102,3008
7.29,40.3,20.0,194.7,1.88,0.36,204,1011
7.14,19.2,16.7,134.2,1.76,0.93,202,8001
6.1,97.6,36.3,353.0,3.75,0.23,201,3006
7.13,66.4,28.1,244.9,2.19,0.24,203,4002
6.83,42.9,25.8,214.3,2.2,0.68,301,1012
7.34,70.6,41.4,248.8,3.29,0.39,203,4009
7.09,68.2,52.4,246.8,3.64,0.35,102,3012
7.04,64.8,47.2,278.3,2.3,0.23,306,2011
6.93,64.5,37.8,222.3,2.65,0.27,201,6001
7.3,65.9,43.7,251.0,3.07,0.71,301,2004
6.77,31.5,16.5,232.5,1.75,0.39,204,1004
7.67,82.3,47.4,243.1,2.81,0.64,301,2004
6.05,64.3,30.0,279.6,3.27,0.16,201,6001
8.1,36.8,13.1,191.4,1.08,0.21,402,7009
7.17,72.1,48.9,325.8,2.79,0.24,204,3004
6.14,88.7,52.8,346.2,3.94,0.31,201,3012
6.88,72.9,46.7,274.1,2.01,0.21,301,2008
6.49,53.8,22.4,235.0,3.54,0.32,203,4013
5.68,55.7,21.7,239.6,3.84,0.34,202,4008
6.58,97.2,59.0,374.9,2.92,0.22,204,3011
6.96,102.7,50.3,286.0,4.04,0.23,204,3016
7.46,73.9,43.1,246.6,2.7,0.32,203,4003
6.47,65.0,26.0,246.9,3.73,0.18,201,6001
7.66,80.2,42.7,281.0,3.5,0.64,301,2005
7.14,67.3,64.9,280.5,4.09,0.11,204,3016
6.09,62.1,52.4,377.9,3.04,0.1,204,3013
7.98,64.8,42.3,258.1,2.36,0.57,301,2007
6.22,86.2,35.0,347.5,2.58,0.42,204,3018
7.11,61.7,55.1,310.1,3.7,0.26,201,3018
6.69,80.5,49.3,367.2,4.39,0.28,102,3008
6.34,58.7,20.5,292.8,2.62,0.37,202,4008
7.63,26.7,15.2,187.8,1.63,0.68,101,7006
5.91,49.5,32.4,288.7,2.54,0.3,203,4002
7.17,72.8,58.0,340.4,4.2,0.38,201,3010
6.53,40.6,20.1,261.9,2.96,0.25,202,4004
6.93,108.5,49.2,275.4,2.71,0.18,102,3014
6.66,40.2,42.9,256.4,3.59,0.27,203,4009
6.57,91.2,41.2,298.3,3.71,0.22,204,3004
8.29,19.9,17.6,125.5,1.38,0.83,402,7008
6.86,62.9,60.0,268.2,3.46,0.29,204,3013
7.18,28.7,24.1,174.5,1.13,0.57,202,8003
6.93,57.8,29.2,291.5,2.11,0.16,202,5002
7.03,46.6,17.5,228.2,1.8,1.06,301,1007
6.11,60.1,48.1,319.6,1.77,0.2,102,3005
6.98,54.5,22.1,211.9,2.89,0.4,201,6005
6.54,48.5,17.2,231.1,1.44,0.98,301,1009
7.07,71.5,24.9,278.8,2.32,0.15,202,5003
7.22,66.9,38.5,201.6,2.77,0.28,203,5004
7.19,109.4,39.8,296.2,2.91,0.26,102,3018
6.49,51.4,31.5,215.1,3.4,0.28,203,5003
6.36,77.2,33.1,285.1,2.19,0.32,201,4002
8.04,15.1,13.6,185.0,1.45,0.41,402,7009
7.77,30.1,27.4,157.4,1.66,0.3,402,7007
6.07,45.2,31.3,284.1,2.15,0.21,201,5002
6.08,95.0,50.3,299.8,2.9,0.28,102,3011
6.97,56.9,37.2,243.0,3.25,0.3,202,4006
7.14,78.4,58.3,280.8,2.85,0.28,201,3007
7.71,25.2,29.3,153.9,1.48,0.81,402,7004
6.7,58.0,20.6,217.3,2.72,0.24,203,4015
6.11,46.1,44.2,219.0,2.99,0.2,201,4011
6.52,35.5,21.7,194.6,1.81,0.99,202,8004
6.98,33.3,23.6,209.2,1.41,0.42,202,1007
8.23,26.4,19.0,212.1,1.46,0.51,402,6002
7.9,64.6,37.5,268.5,2.43,0.61,202,2002
5.94,52.2,43.8,209.4,3.59,0.14,201,4004
5.98,75.7,43.9,218.8,3.23,0.39,202,4003
6.99,87.8,59.8,340.1,3.36,0.37,204,3017
7.42,35.5,21.7,177.9,1.88,0.59,101,7012
7.2,26.9,27.0,198.8,2.2,0.63,301,1008
6.62,83.9,52.3,245.4,1.69,0.19,102,3005
6.7,70.8,56.3,331.5,4.36,0.35,201,3015
6.84,44.5,15.7,219.9,1.38,0.5,202,1002
7.74,35.1,19.4,211.6,1.3,0.56,402,6002
7.34,40.9,26.9,214.0,2.61,0.11,201,4013
7.04,50.8,18.7,196.1,1.21,0.56,301,1011
7.18,18.8,23.5,197.9,1.1,0.77,402,7008
7.01,103.1,59.5,365.9,3.42,0.48,102,3002
7.16,104.5,43.0,271.3,4.07,0.16,204,3006
7.3,27.8,33.6,194.9,2.02,0.9,301,1011
7.52,43.8,16.5,185.2,1.88,1.11,204,1003
6.98,74.7,35.3,238.9,2.67,0.39,202,2010
6.74,54.6,42.9,192.7,2.43,0.16,201,4014
7.4,53.0,35.3,248.1,2.33,0.25,202,4001
7.25,38.2,23.2,199.1,1.0,0.51,402,7006
6.18,69.0,47.7,251.5,4.15,0.37,204,3013
6.63,105.5,54.1,362.4,3.67,0.38,204,3004
6.33,83.6,57.3,258.5,2.7,0.4,201,3002
7.02,38.3,23.1,187.0,2.04,1.04,204,1011
6.9,104.9,56.1,267.0,3.97,0.3,201,3016
6.63,98.1,45.2,331.4,3.73,0.17,102,3007
6.79,72.5,51.9,352.8,4.42,0.1,201,3009
7.14,33.5,15.4,150.5,1.99,0.74,101,7006
7.82,82.8,35.1,244.3,3.3,0.29,202,2009
6.92,45.5,22.9,290.9,2.16,0.17,202,5002
5.83,41.6,38.7,286.2,3.42,0.16,202,4005
5.75,46.1,28.6,269.7,2.13,0.2,201,5002
7.48,77.1,33.6,287.6,2.41,0.69,202,2007
