pH,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi,Yagis_Miktar_mm,Sicaklik_Ort,SulamaYapildiMi,Gubreleme_TamMi,Gecmis_Verim_kg
7.07,2.35,0.28,202,2005,618.6,20.6,1,1,5082
6.41,3.2,0.18,202,5002,784.5,22.8,1,1,3414
6.45,3.73,0.39,102,3001,411.3,20.5,1,1,5419
7.22,2.36,0.65,306,2003,405.3,21.4,1,0,4205
7.36,1.67,0.98,204,1011,337.5,12.6,1,1,686
7.31,2.02,0.7,306,2004,658.6,14.8,1,0,4092
6.39,2.85,0.25,201,6003,859.3,11.2,1,1,343
7.9,1.38,0.65,101,7006,318.6,12.5,0,1,171
6.99,4.04,0.11,102,3013,374.3,19.0,1,1,2315
6.23,3.51,0.46,204,3002,381.6,19.6,1,1,2083
6.72,2.91,0.18,201,3014,294.1,26.0,1,0,1770
6.86,1.85,0.46,204,1002,469.1,12.3,1,0,617
7.36,3.48,0.32,202,5003,804.7,20.0,1,1,3368
6.63,2.71,0.39,204,3002,360.7,19.4,1,1,1858
6.13,2.21,0.19,201,6004,840.0,14.2,1,1,343
7.3,1.51,0.87,204,1012,372.5,13.3,1,1,662
7.52,1.62,0.61,101,7002,268.1,12.5,0,1,173
7.78,3.03,0.28,306,2001,581.2,17.5,1,1,425
6.72,3.6,0.26,202,4014,542.4,12.5,1,1,3725
6.2,2.04,0.38,102,3005,277.9,25.9,1,1,5153
6.21,2.83,0.23,202,6003,1136.0,13.3,0,1,356
6.11,3.84,0.46,204,3011,268.1,19.3,1,1,2204
6.4,3.32,0.46,204,3008,307.3,23.5,1,1,2087
5.93,3.9,0.14,203,4014,896.4,12.5,0,1,3569
6.05,4.06,0.17,204,3017,290.5,19.0,1,1,2070
7.16,1.99,0.43,202,8001,398.2,14.7,1,1,1065
6.13,1.85,0.45,102,3005,312.6,24.9,1,1,5060
6.91,3.91,0.12,204,3008,282.3,22.2,1,1,2243
6.1,3.98,0.44,102,3016,452.0,23.8,1,1,2048
5.87,3.32,0.14,201,4006,746.0,14.5,1,1,3323
7.86,3.23,0.64,202,2004,612.2,19.4,1,0,4806
7.19,1.9,0.89,301,1011,434.6,13.5,1,0,578
7.28,1.36,0.83,101,7009,414.5,12.9,0,0,148
7.07,2.6,0.12,201,3001,483.3,22.8,1,1,5201
6.75,2.08,0.12,201,4007,509.8,15.2,1,1,3426
7.24,3.59,0.32,201,4002,834.6,12.5,0,1,3544
6.49,2.28,0.21,203,4014,797.5,15.5,1,1,3298
6.32,2.83,0.2,204,3006,440.7,19.1,1,1,5156
7.74,3.36,0.49,306,2006,677.2,18.0,1,1,5317
8.03,0.96,0.8,101,7005,435.9,11.7,0,1,164
6.86,2.0,0.63,202,2007,643.4,17.6,1,0,4575
7.34,1.22,0.87,402,7002,374.9,11.6,0,1,181
7.2,1.73,0.99,101,7009,310.3,15.0,0,1,171
6.78,1.88,1.05,202,1006,523.1,11.1,1,1,647
7.02,3.92,0.2,102,3001,276.5,22.4,1,1,6111
5.85,2.81,0.31,202,4012,685.0,15.1,1,1,3196
6.11,2.93,0.38,203,4013,871.3,12.1,1,1,3498
6.49,3.78,0.3,202,6005,1196.6,11.3,0,1,375
6.22,3.76,0.32,202,6001,1062.7,14.1,0,1,375
7.79,1.41,0.34,301,1004,473.6,11.4,1,1,700
7.11,0.93,0.65,202,8004,440.4,12.6,0,1,907
6.51,2.4,0.3,201,5004,748.5,22.8,1,1,3152
6.3,3.5,0.49,102,3013,454.4,20.2,1,1,2059
7.66,2.8,0.41,202,2010,557.2,21.8,1,0,4461
7.46,1.82,0.99,402,7004,302.0,13.8,0,1,167
6.93,2.02,0.54,301,1005,342.5,10.2,1,1,727
7.01,1.35,0.84,301,1003,497.6,10.9,1,1,637
8.25,1.18,0.5,101,7004,428.2,10.3,0,0,151
7.15,2.88,0.64,301,2006,481.4,21.8,1,1,5053
6.38,4.22,0.47,201,3002,373.2,20.0,1,1,2158
7.55,1.11,0.27,402,7014,253.5,15.7,0,1,192
7.59,1.25,1.14,301,1005,360.4,12.2,0,1,297
6.4,2.75,0.27,102,3004,417.4,24.1,1,1,5157
6.67,3.73,0.35,204,3017,423.4,25.4,1,1,2253
5.84,2.25,0.24,202,4012,593.9,13.3,0,1,3189
7.69,2.28,0.22,301,2007,482.7,16.4,1,1,5044
6.08,2.51,0.11,202,6004,1066.7,12.5,1,1,326
6.41,4.47,0.33,204,3003,362.8,20.3,1,1,2187
6.7,2.85,0.25,204,3012,445.4,21.5,1,1,1999
6.27,1.98,0.3,201,3005,413.6,25.3,1,1,4992
7.42,3.08,0.31,203,4008,681.8,14.3,1,1,3644
6.28,4.28,0.43,102,3017,465.2,24.6,1,1,2044
7.06,4.48,0.47,204,3015,435.0,18.7,1,1,2152
6.63,2.53,0.37,204,3010,360.1,25.7,1,1,1843
7.26,0.85,0.54,202,8004,321.9,12.2,0,1,944
6.38,3.13,0.23,202,4002,814.5,15.9,0,1,3313
6.76,3.58,0.1,202,4009,893.6,15.5,1,1,3670
6.96,2.06,0.95,301,1012,524.8,13.0,0,1,321
6.07,3.59,0.31,202,4010,793.4,15.9,1,1,3669
5.95,3.9,0.11,202,4012,812.0,13.0,0,1,3584
6.54,3.41,0.13,202,6001,1147.2,13.6,0,1,353
6.97,2.42,0.27,301,2006,692.8,14.2,1,1,5132
6.52,1.59,0.92,202,1005,414.5,11.1,1,1,684
6.19,3.43,0.25,201,4006,537.4,12.6,0,1,3520
6.23,2.67,0.21,202,6005,943.7,12.8,0,0,292
7.58,2.63,0.35,306,2002,493.7,18.3,1,1,5206
7.1,2.94,0.33,203,4015,719.9,12.5,1,1,3356
7.04,2.84,0.42,102,3006,382.6,18.9,1,1,5114
7.15,1.31,0.7,101,7001,326.6,12.4,0,1,186
6.76,1.27,0.75,202,8004,312.3,15.5,1,1,1001
7.11,1.86,0.48,402,7004,336.8,10.4,1,0,154
7.21,2.03,0.17,201,4009,689.1,12.7,1,1,3073
8.18,1.75,0.36,101,7007,347.4,11.0,0,1,175
7.42,3.02,0.24,203,4015,868.4,15.9,1,1,3505
7.95,1.41,0.44,101,7013,256.2,11.7,0,1,190
5.78,2.84,0.23,202,4008,784.7,15.1,0,1,3240
7.52,2.21,1.04,204,1004,549.6,11.5,1,0,570
6.86,2.39,0.31,202,4001,662.4,13.7,1,1,3104
6.65,1.07,0.46,202,8001,409.9,15.9,0,1,969
7.41,2.18,0.64,204,1001,484.0,11.7,0,1,313
7.16,3.07,0.62,306,2003,591.7,15.0,1,1,5458
6.2,3.17,0.18,102,3012,441.7,24.7,1,1,1998
8.46,1.23,0.39,402,6002,278.4,22.1,0,1,143
7.48,2.98,0.75,306,2008,545.3,14.6,1,1,5340
7.91,2.6,0.57,301,2002,605.7,20.8,1,1,5009
6.26,2.87,0.23,102,3007,326.2,24.9,1,1,5388
6.96,3.91,0.35,204,3015,302.8,23.8,1,0,1847
6.6,3.89,0.28,201,3014,295.9,24.3,1,1,2144
7.29,1.34,0.46,301,1004,429.5,11.7,0,1,291
5.53,3.81,0.29,203,4002,642.4,12.8,1,1,3563
6.56,1.77,1.02,204,1011,469.6,10.3,0,1,299
7.06,2.51,0.54,301,2011,563.2,21.0,1,0,4462
6.78,3.91,0.39,201,5004,506.9,21.4,1,1,3585
6.42,3.17,0.35,202,4010,697.1,12.1,0,1,3412
7.0,1.53,0.32,402,7013,366.4,10.8,0,1,194
6.29,2.65,0.45,204,3002,478.1,26.0,1,1,2102
6.28,2.84,0.41,102,3017,485.0,20.7,1,1,1976
5.99,3.74,0.18,202,4005,790.5,14.3,1,1,3742
5.54,2.91,0.23,202,4004,629.0,15.1,1,1,3224
7.15,2.69,0.35,203,4008,712.5,12.2,1,0,2883
6.87,2.91,0.24,203,4006,729.9,12.0,1,1,3172
6.3,2.59,0.4,102,3017,499.7,19.7,1,1,2046
7.73,1.73,0.42,101,7008,322.9,10.1,1,1,195
6.29,2.75,0.13,201,4001,620.2,14.3,0,1,3309
7.52,1.38,0.45,204,1012,391.2,12.6,0,1,309
6.95,3.27,0.41,204,3012,470.3,25.9,1,1,1952
6.16,2.73,0.19,202,6003,1097.3,12.0,1,1,319
6.18,3.92,0.18,201,4006,612.7,13.7,0,1,3563
6.96,2.1,0.71,301,2010,559.1,17.8,1,1,5275
8.02,0.97,0.41,101,7009,281.5,14.7,0,1,182
7.02,3.18,0.44,202,2008,492.8,14.2,0,1,5529
7.03,3.24,0.26,201,4009,645.2,12.0,1,0,3268
6.47,2.54,0.22,204,3013,314.9,21.2,1,1,1885
6.83,3.02,0.34,202,4009,821.9,13.1,1,1,3440
6.51,2.61,0.34,202,6005,850.9,14.3,1,1,323
6.69,1.8,0.93,202,1007,391.7,11.5,0,1,293
6.3,3.39,0.31,202,4007,653.2,15.6,1,1,3322
6.11,3.68,0.3,201,4009,795.3,13.4,1,1,3571
5.88,2.45,0.1,202,4004,599.9,12.2,0,1,3265
7.57,3.44,0.69,306,2011,435.5,17.1,1,1,5364
7.25,1.6,0.38,202,1007,307.1,11.1,1,1,697
7.64,2.04,0.55,204,1002,464.8,13.0,0,1,324
6.74,2.07,0.51,301,1012,507.2,11.9,1,1,719
7.08,2.93,0.21,203,4013,781.8,13.5,1,1,3344
7.56,1.25,1.18,301,1002,408.5,13.2,0,1,280
7.43,1.77,0.87,101,7005,257.4,11.8,1,1,169
7.0,3.07,0.29,202,4008,640.2,15.8,1,1,3514
6.35,3.61,0.25,201,6001,1159.1,11.4,0,1,331
7.0,3.93,0.4,102,3018,459.8,20.1,1,1,2011
6.65,3.55,0.21,202,4005,857.0,13.0,1,1,3648
5.83,2.31,0.22,203,4005,545.8,15.4,1,1,3240
6.61,2.07,1.19,204,1009,306.1,12.3,0,0,267
6.99,3.61,0.39,202,6003,1110.8,11.7,0,1,359
7.49,1.7,0.47,402,7002,386.2,13.0,0,1,179
6.91,4.34,0.34,204,3007,331.4,23.4,1,1,5685
8.08,1.51,0.51,101,7001,350.4,15.5,0,1,174
7.83,0.95,0.65,402,7014,301.8,10.7,1,1,173
6.76,3.94,0.35,202,4002,571.9,13.5,1,1,3412
6.25,2.43,0.28,202,4005,643.3,15.0,1,1,3116
7.66,3.21,0.38,202,2004,415.6,21.4,1,1,5825
7.07,1.04,0.94,202,8003,388.6,15.9,0,1,868
7.5,2.61,0.34,202,2004,557.3,17.3,1,1,5172
7.1,3.01,0.68,301,2001,670.4,21.8,1,1,398
6.81,3.88,0.45,102,3011,324.1,24.3,1,1,2223
7.15,4.02,0.26,102,3002,407.4,21.5,1,1,2046
6.45,3.33,0.32,202,6001,863.8,13.3,0,1,341
6.91,2.62,0.18,202,4004,726.8,12.4,0,1,3379
6.18,3.64,0.33,204,3003,327.1,22.1,1,1,2070
6.98,0.99,0.81,202,8004,353.8,15.8,0,0,759
6.13,3.11,0.26,204,3012,492.8,21.4,1,0,1745
7.95,0.93,0.75,101,7003,432.6,14.8,0,1,179
7.55,2.14,0.47,202,2002,644.2,16.1,1,1,4792
6.32,3.7,0.4,204,3015,469.3,25.2,1,1,2224
7.87,0.87,0.46,402,7001,427.0,12.2,0,1,178
7.73,0.95,0.62,402,7005,351.9,14.6,0,1,170
5.54,2.58,0.19,202,5003,608.0,21.5,1,1,3355
7.42,1.73,0.93,101,7012,351.6,14.8,1,1,187
7.28,1.96,0.64,402,7014,302.0,12.1,1,1,185
6.61,2.58,0.13,204,3003,292.4,25.9,1,1,2105
6.12,3.26,0.32,202,5001,837.5,22.4,0,1,3490
7.03,3.38,0.38,102,3014,495.0,19.5,1,1,2198
7.6,3.21,0.2,202,2003,602.1,20.3,1,0,4899
5.02,2.62,0.23,203,4016,1677.0,15.3,0,1,3265
5.42,3.9,0.33,202,4016,1261.1,14.7,1,0,3037
7.7,1.52,0.85,101,7006,427.6,12.9,0,1,173
7.43,1.53,0.89,202,8002,402.1,12.2,0,0,862
7.31,1.88,1.17,301,1006,373.6,13.0,0,1,294
6.65,2.91,0.34,201,6004,903.9,14.9,0,1,321
7.44,3.32,0.4,202,2002,594.2,19.5,1,1,5726
6.35,3.21,0.28,202,6004,824.1,11.0,1,1,362
8.3,0.89,0.28,402,7007,264.2,15.4,0,1,176
8.23,1.04,0.44,101,7004,411.0,15.5,0,1,166
7.32,1.1,0.65,202,8001,326.8,13.5,0,1,997
7.46,2.24,0.56,306,2011,412.2,15.6,1,1,4805
6.78,2.5,0.44,204,3001,364.6,18.8,1,1,5253
7.41,1.23,0.85,301,1008,530.1,13.9,0,1,286
7.86,2.95,0.76,306,2005,539.4,17.4,1,1,5154
6.81,3.62,0.37,204,3010,389.5,23.0,1,1,2153
7.41,3.42,0.74,306,2008,591.0,15.0,0,1,5558
7.13,3.85,0.38,102,3007,435.0,24.5,1,1,5362
6.54,1.84,0.89,202,8004,286.1,12.2,0,1,1005
7.11,3.92,0.5,204,3001,304.2,21.8,1,1,5372
6.49,3.23,0.29,202,6001,1162.0,11.6,0,1,349
6.58,4.18,0.45,201,3016,406.3,23.8,1,1,2039
7.46,1.49,0.42,202,8003,439.7,14.3,0,1,999
6.88,3.8,0.28,204,3013,395.6,19.0,1,1,2097
6.59,2.06,1.06,204,1001,345.4,12.4,0,1,306
6.57,3.94,0.22,201,3002,493.4,22.2,1,1,2246
6.12,3.49,0.17,203,4011,796.8,12.0,1,1,3635
6.88,2.22,0.17,203,4011,680.7,13.2,0,1,3146
7.19,1.45,0.25,402,7007,254.0,12.1,1,1,193
7.3,1.8,0.94,301,1002,336.3,11.7,1,0,551
6.56,2.44,0.29,203,4010,846.4,14.0,0,1,3109
6.61,1.94,1.17,204,1009,303.2,10.6,0,1,291
6.47,2.59,0.37,102,3009,349.9,20.7,1,1,2093
7.95,2.35,0.22,306,2010,628.7,16.6,0,1,5392
7.58,1.66,0.8,204,1002,458.0,10.4,1,1,654
7.27,2.34,0.78,301,2002,688.9,15.8,1,0,4154
6.4,2.15,0.4,203,4004,728.1,14.4,1,1,3225
6.24,2.55,0.37,203,4002,702.8,15.3,1,1,3483
7.27,2.23,0.5,306,2007,605.9,19.6,1,1,4776
8.18,1.16,0.23,402,7013,374.7,13.4,1,1,177
7.34,1.39,0.81,101,7001,272.6,11.8,0,1,184
6.91,3.82,0.34,204,3007,449.5,18.9,1,1,6014
6.79,2.91,0.27,202,4012,792.1,13.7,0,1,3199
7.06,3.05,0.73,306,2005,689.5,20.0,1,1,5127
7.73,1.52,0.55,101,7002,253.6,10.7,0,1,178
6.83,2.37,0.22,202,6003,1051.0,11.6,0,1,328
7.96,2.78,0.74,306,2002,634.5,16.3,1,1,5055
6.36,4.07,0.46,201,3004,353.5,24.9,1,1,6050
6.7,3.39,0.18,202,4012,751.8,15.9,1,1,3464
7.6,2.7,0.36,306,2008,525.7,16.5,1,1,5189
6.71,3.7,0.26,203,4012,642.9,14.2,1,1,3584
7.87,2.24,0.68,306,2007,543.0,18.8,1,1,5250
8.28,1.22,0.84,402,7001,447.1,15.0,1,1,175
6.44,2.87,0.37,203,4003,719.2,13.4,0,0,2997
6.97,3.38,0.64,301,2002,435.4,16.0,1,1,5221
7.42,1.63,0.61,402,7005,396.1,11.0,0,1,191
6.12,3.57,0.32,202,4005,560.9,13.4,1,1,3453
7.4,1.2,0.99,402,7004,314.4,14.6,1,1,173
7.23,1.48,0.21,402,7013,405.6,14.3,1,1,187
7.51,3.47,0.59,202,2002,416.1,20.2,1,1,5487
7.05,1.52,0.77,101,7013,277.6,13.1,0,1,189
7.36,3.2,0.78,301,2002,652.9,19.3,1,1,5487
6.91,2.32,0.77,301,2001,444.3,21.2,1,1,370
6.96,3.58,0.38,203,4002,591.2,15.5,1,1,3605
6.59,3.35,0.13,201,3004,412.9,25.0,1,1,5831
6.67,4.1,0.39,201,3007,313.8,22.1,1,1,5803
7.05,4.33,0.23,201,3002,386.8,20.2,1,1,2271
6.33,2.66,0.3,102,3009,276.3,20.7,1,0,1806
7.05,2.12,0.7,202,2003,528.7,15.9,1,1,5119
7.54,2.25,1.01,202,1007,380.8,10.3,1,1,721
6.2,3.15,0.18,202,6005,1110.6,12.3,1,1,361
6.87,1.78,0.39,202,8002,323.0,12.2,0,1,943
7.02,1.93,0.39,101,7008,449.5,11.7,0,0,174
6.36,4.3,0.39,204,3011,388.3,24.9,1,1,2204
6.93,2.53,0.36,102,3010,444.1,21.7,1,1,1939
6.24,2.12,0.27,203,4007,789.8,15.9,1,1,3210
6.04,3.5,0.27,102,3003,424.7,20.0,1,1,2230
8.23,1.38,0.47,101,7006,439.2,13.5,0,1,175
7.18,1.31,0.49,202,1003,431.2,12.7,1,1,700
7.46,2.95,0.41,306,2004,547.4,20.5,0,1,5369
7.98,3.02,0.8,306,2009,433.4,15.0,0,0,4848
6.63,1.75,0.62,301,1002,544.2,12.3,1,1,634
5.92,2.75,0.25,202,5002,781.5,20.4,0,1,3375
7.34,1.26,0.66,101,7003,447.3,11.7,0,1,170
6.99,3.29,0.2,201,4014,592.3,14.2,1,1,3652
6.52,3.07,0.13,203,4001,563.4,12.6,1,1,3636
6.82,2.2,0.78,306,2010,646.8,22.0,1,1,4987
5.18,3.01,0.11,201,4016,1864.5,12.5,0,1,3306
6.72,2.02,0.21,201,4002,549.5,12.2,0,1,3434
6.9,1.2,0.64,301,1005,474.8,10.2,0,1,304
6.47,2.99,0.17,201,3001,340.5,20.1,1,1,5228
7.38,1.23,0.6,204,1001,517.4,11.5,0,1,292
5.92,3.05,0.32,202,4004,772.7,14.3,0,1,3193
7.5,0.82,0.2,202,8003,253.9,14.7,0,1,987
6.08,3.93,0.22,102,3018,420.7,22.1,1,1,2210
6.96,3.61,0.25,204,3018,371.2,18.1,1,1,2236
7.36,1.39,0.88,402,7008,373.8,11.8,1,1,178
5.5,3.62,0.23,201,4004,861.6,14.6,1,1,3762
6.91,2.84,0.27,201,3006,283.5,20.2,1,0,5130
7.77,2.03,0.68,202,2010,542.9,21.9,0,1,5109
7.36,3.22,0.25,202,4003,890.1,15.1,1,1,3562
6.96,2.65,0.15,201,4015,731.8,12.8,1,1,3276
6.62,1.69,0.75,202,8002,276.7,11.1,0,1,951
6.54,1.58,0.41,204,3005,471.1,23.3,1,1,5043
6.09,2.43,0.11,202,4009,694.8,13.1,0,1,3281
7.06,3.48,0.3,202,2003,644.6,18.9,1,1,5511
6.95,1.43,0.88,202,1006,420.5,12.6,0,0,239
6.64,3.48,0.43,102,3007,389.8,24.4,1,1,5908
7.13,2.98,0.69,202,2011,593.6,20.6,1,1,5525
7.12,3.8,0.19,102,3013,463.2,21.9,1,1,2054
7.41,2.29,1.16,204,1002,448.7,13.8,0,1,291
5.78,2.26,0.25,203,5001,691.6,18.4,0,1,3243
6.56,3.17,0.19,201,3010,437.4,22.5,1,0,1826
6.65,3.34,0.18,203,4014,814.8,12.2,1,1,3529
6.27,3.31,0.33,202,4008,565.9,14.4,1,1,3364
6.0,2.92,0.17,201,4004,871.8,14.0,1,1,3434
6.11,4.2,0.43,102,3009,417.0,21.8,1,1,2121
6.97,1.23,0.6,204,1003,363.4,10.9,0,1,313
6.14,3.28,0.3,204,3012,426.3,18.1,1,1,2197
7.86,2.19,0.21,301,2004,590.5,21.7,1,0,4528
7.1,1.24,0.47,204,1011,512.3,11.6,1,1,688
7.47,2.58,0.3,306,2005,587.3,15.2,1,1,5039
8.12,1.24,0.78,402,6002,252.1,18.4,0,1,145
8.2,1.02,0.73,402,7013,401.5,16.0,0,1,163
8.28,1.69,0.68,402,6002,399.0,22.8,0,1,155
6.53,3.39,0.34,201,6003,842.1,11.3,0,1,368
7.03,2.55,0.24,201,3015,460.8,24.3,1,0,1772
6.75,3.32,0.18,201,3013,327.6,26.0,1,1,2019
7.64,1.88,1.16,301,1003,334.1,11.9,0,1,295
6.89,3.48,0.23,202,6001,918.2,14.2,0,1,356
7.76,2.28,0.4,301,1010,477.4,10.9,1,1,704
6.67,2.12,0.77,204,1011,413.2,12.9,0,1,331
5.69,2.42,0.31,201,5004,517.1,21.3,1,1,3395
6.63,4.43,0.32,201,3009,375.5,20.5,1,0,2026
6.41,3.09,0.23,102,3009,337.1,19.5,1,1,2071
7.14,1.39,0.48,101,7014,292.2,11.9,0,1,184
6.63,3.15,0.23,204,3009,483.8,19.6,1,1,2064
6.95,2.62,0.44,301,2005,590.1,19.5,1,0,4480
6.92,2.34,0.6,202,2001,449.5,17.9,1,1,383
6.29,2.19,0.34,203,4001,893.4,12.3,1,1,3225
7.65,1.54,1.19,202,1007,467.6,12.8,1,1,612
6.64,3.25,0.17,201,3003,481.7,19.0,1,1,1979
7.33,1.65,1.06,204,1012,331.2,10.7,0,1,293
7.47,2.6,0.22,202,4009,642.2,15.3,1,1,3235
7.41,2.96,0.46,202,2007,673.3,17.6,1,1,5129
7.48,2.08,0.16,202,4004,626.9,13.1,1,1,3255
6.66,3.73,0.14,102,3009,253.9,24.3,1,1,2037
8.13,1.92,0.23,402,7009,369.2,15.6,0,1,184
7.68,1.86,1.01,202,1011,364.9,12.7,1,1,637
6.74,3.95,0.16,201,4005,685.4,15.6,1,1,3806
7.34,0.9,0.8,202,8002,326.0,13.1,0,1,924
6.81,2.28,0.39,202,2007,452.3,14.8,1,1,5513
6.69,2.91,0.37,204,3011,277.2,21.1,1,1,2077
7.04,0.94,0.69,402,7014,300.3,11.0,0,1,180
6.51,2.82,0.28,201,4005,731.7,13.4,1,1,3465
8.14,1.59,1.0,402,7004,435.3,14.8,0,1,183
6.39,3.93,0.33,202,4010,592.2,12.1,1,1,3687
6.55,1.21,0.58,204,1003,308.5,12.4,1,1,672
5.59,2.81,0.14,201,4007,666.3,13.4,0,1,3436
5.78,3.73,0.19,201,4007,628.5,16.0,1,1,3696
7.85,3.08,0.76,301,2004,489.0,16.2,0,1,5447
7.07,3.01,0.29,202,4014,786.1,15.1,1,1,3248
6.86,2.54,0.13,203,4010,611.8,15.7,1,1,3513
7.01,1.92,0.8,301,1002,368.7,11.5,0,1,303
7.36,2.11,0.16,202,5003,813.8,18.0,1,1,3208
6.28,2.86,0.47,201,3015,390.2,19.6,1,1,2030
7.54,2.93,0.31,301,2001,637.3,20.1,1,1,416
6.44,2.7,0.12,204,3016,317.1,20.0,1,1,2087
6.19,3.93,0.18,201,3012,472.9,21.5,1,1,2091
7.12,3.26,0.29,203,4006,649.4,14.8,1,1,3389
7.32,1.86,0.9,202,1010,488.4,10.9,1,1,696
6.14,3.24,0.45,204,3010,495.2,24.3,1,1,1939
6.46,3.65,0.24,204,3001,294.3,18.3,1,1,5406
6.98,3.35,0.27,202,2010,634.2,20.9,1,1,5891
7.05,3.99,0.22,202,5003,715.1,19.6,1,1,3467
6.25,4.48,0.32,102,3004,262.6,18.4,1,1,5567
7.8,2.29,0.79,306,2003,681.7,18.5,1,1,5339
6.13,3.46,0.32,201,5001,781.6,18.9,1,0,2966
6.45,3.36,0.26,202,6005,1113.0,11.3,0,1,338
7.37,1.65,0.54,101,7006,355.3,12.4,1,1,171
6.29,3.57,0.22,204,3012,312.4,18.7,1,1,1982
7.59,1.57,0.31,101,7014,369.1,12.0,1,1,188
5.66,2.3,0.25,202,4003,562.4,15.8,1,1,3050
7.5,1.42,0.44,402,7014,399.5,13.8,0,0,161
6.21,3.27,0.16,201,4001,528.8,15.5,1,1,3534
6.04,3.37,0.33,201,6003,1110.5,14.6,0,0,326
7.25,1.4,1.02,202,1007,498.7,12.2,1,1,663
7.34,1.14,0.45,402,7010,416.4,10.2,0,1,181
6.99,2.85,0.37,201,4002,895.7,15.0,0,1,3223
7.09,2.1,0.27,301,2009,552.9,18.6,0,1,5135
7.45,1.73,0.31,402,7004,433.2,12.3,0,1,193
7.57,1.41,0.99,101,7006,325.1,14.4,0,1,178
7.13,2.21,1.04,202,1003,538.5,11.9,0,1,305
8.05,1.37,0.67,402,7014,288.3,10.4,0,1,187
6.82,3.03,0.38,204,3018,369.4,19.7,1,1,2081
7.41,1.67,0.8,101,7008,419.0,13.7,0,1,177
7.13,2.09,0.21,306,2005,564.7,19.4,0,1,5221
7.94,1.44,0.77,402,7012,326.0,10.3,0,1,179
6.78,3.92,0.37,203,4006,680.7,15.0,0,1,3567
7.12,2.04,1.02,202,1009,388.5,13.0,1,1,687
7.15,1.32,0.99,301,1006,344.6,13.0,1,1,595
6.89,3.49,0.16,102,3010,385.4,18.6,1,1,2021
7.28,2.89,0.21,301,2001,429.6,17.9,1,1,391
7.12,2.32,0.22,202,4007,619.0,15.7,1,1,3125
6.08,4.25,0.25,201,3016,434.9,23.8,1,1,2059
6.99,3.71,0.33,203,4001,647.2,13.8,1,0,3094
6.84,1.82,1.1,204,1006,315.7,13.8,1,1,668
6.99,2.48,0.31,301,2010,500.9,16.8,0,1,5463
6.43,3.57,0.23,102,3014,385.0,21.0,1,1,2138
7.35,1.75,0.71,204,1009,404.9,11.4,0,1,297
6.69,2.64,0.25,202,4007,521.3,12.7,1,1,3333
7.46,1.26,0.68,402,7002,293.8,15.9,0,1,182
7.04,1.6,0.56,101,7013,284.8,15.1,0,1,194
6.52,3.67,0.26,202,4015,500.0,12.8,1,1,3628
6.08,2.42,0.33,202,4010,543.3,15.7,0,1,3265
8.15,1.77,0.21,101,7001,336.3,10.7,1,1,184
7.0,2.92,0.36,201,3013,420.3,18.2,1,1,2126
7.57,2.21,0.65,301,1011,543.2,12.4,0,1,309
7.05,0.9,0.8,402,7002,268.2,10.1,0,1,178
6.14,3.0,0.33,203,5003,849.8,18.6,1,1,3315
7.09,0.93,0.4,402,7007,294.8,13.2,1,1,180
6.66,2.41,0.27,202,4013,801.1,15.4,0,1,3185
5.57,3.61,0.29,203,5001,693.3,19.8,1,1,3486
6.49,2.9,0.23,201,3003,280.8,21.1,1,1,2105
7.15,2.08,0.52,202,1003,518.8,10.8,0,1,317
7.87,3.23,0.39,306,2008,612.4,20.2,0,1,5736
7.71,0.95,0.61,402,7013,280.7,13.0,0,1,185
7.45,2.0,0.94,402,7008,388.5,13.9,0,1,176
7.03,1.07,0.34,402,7008,324.2,10.7,0,1,176
6.83,3.56,0.18,201,5003,634.6,18.5,1,1,3757
4.5,2.42,0.38,203,4016,1900.0,15.2,0,1,3037
6.67,1.36,1.1,204,1011,395.0,12.9,0,1,298
7.06,1.03,0.66,402,7005,366.4,15.7,0,1,169
6.76,3.98,0.38,201,5002,887.8,21.9,1,1,3697
7.01,2.75,0.43,306,2007,457.5,15.4,1,1,5508
7.33,2.26,1.08,202,1008,461.0,11.3,0,1,319
6.75,3.06,0.24,201,4007,593.2,13.3,0,1,3403
7.01,3.16,0.56,306,2004,444.2,14.2,1,1,5148
5.71,2.83,0.35,201,4013,586.4,13.6,0,1,3398
7.39,1.18,0.94,101,7005,357.0,14.6,0,1,177
7.96,1.64,0.95,402,7009,291.1,11.7,0,1,187
7.48,2.14,0.55,204,1002,545.4,10.8,0,1,332
7.93,1.41,0.62,402,7011,252.0,10.2,0,1,184
7.93,0.99,0.63,101,7014,350.4,13.4,0,1,186
7.15,1.62,0.62,202,8004,360.3,13.4,0,1,920
6.74,2.22,0.47,204,1003,437.0,13.5,1,1,728
6.3,2.98,0.41,201,3009,304.6,21.1,1,1,1922
6.06,3.21,0.33,201,6004,994.8,12.2,0,1,323
7.32,2.92,0.64,306,2006,499.6,15.8,1,0,4575
7.42,0.81,0.89,101,7002,297.4,12.8,0,1,157
6.42,2.64,0.28,204,3015,342.5,22.7,1,1,1945
6.78,2.94,0.3,204,3001,440.3,19.0,1,1,5313
6.94,4.33,0.43,201,3012,432.3,24.6,1,1,2087
6.73,3.43,0.34,201,5001,896.5,21.6,1,1,3573
6.07,2.8,0.16,202,4004,753.8,15.0,1,1,3160
6.21,2.35,0.37,202,4012,538.1,13.0,1,1,3303
6.21,3.25,0.16,202,6004,735.9,12.0,1,1,369
